empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
GRBK|9|NASDAQ|2020|01|10|15|30|141200|11.54|11.31|11.5|11.53|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|99|NASDAQ|2019|09|03|15|30|114600|9.39|9.05|9.2|9.22|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|98|NASDAQ|2019|09|04|15|30|100200|9.7|9.27|9.5|9.27|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|97|NASDAQ|2019|09|05|15|30|33800|9.81|9.45|9.61|9.62|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|96|NASDAQ|2019|09|06|15|30|16700|9.69|9.46|9.48|9.69|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|95|NASDAQ|2019|09|09|15|30|37400|9.72|9.39|9.69|9.45|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|94|NASDAQ|2019|09|10|15|30|38300|9.75|9.59|9.74|9.68|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|93|NASDAQ|2019|09|11|15|30|102100|9.79|9.58|9.75|9.73|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|92|NASDAQ|2019|09|12|15|30|276800|10|9.7|9.92|9.75|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|91|NASDAQ|2019|09|13|15|30|82300|10.36|9.91|10.26|10|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|90|NASDAQ|2019|09|16|15|30|70300|10.42|10.25|10.28|10.25|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
GRBK|8|NASDAQ|2020|01|13|15|30|64000|11.6|11.47|11.5|11.49|realestatedevelopment|0.1|-|-|11.07|-|390|usa|0.49|0.49|9.14|financial|82.900002|606.98999
