empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LANDP|0|NASDAQ|2020|03|19|14|30|23300|22.25|19|22.25|20.799999|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|1|NASDAQ|2020|03|18|14|30|23000|25|15.752|20.16|24.959999|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|2|NASDAQ|2020|03|17|14|30|4000|25.367001|24.771999|24.771999|25.367001|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|3|NASDAQ|2020|03|16|14|30|13400|24.997|24.5|24.9|24.65|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|4|NASDAQ|2020|03|13|14|30|16100|25.67|24.25|24.75|25.67|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|5|NASDAQ|2020|03|12|14|30|17000|25.466|24.76|25.040001|25.25|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|6|NASDAQ|2020|03|11|14|30|2800|25.690001|25.25|25.25|25.26|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|7|NASDAQ|2020|03|10|14|30|4200|25.950001|25.309999|25.379999|25.309999|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|8|NASDAQ|2020|03|09|14|30|9900|25.778|25.27|25.27|25.66|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|9|NASDAQ|2020|03|06|15|30|8700|25.99|25.65|25.712999|25.99|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|10|NASDAQ|2020|03|05|15|30|500|25.99|25.93|25.950001|25.99|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|11|NASDAQ|2020|03|04|15|30|1200|26.049999|25.799999|25.865999|26.049999|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|12|NASDAQ|2020|03|03|15|30|4600|26.035|25.85|25.860001|25.85|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|13|NASDAQ|2020|03|02|15|30|8200|25.799999|25.698999|25.763|25.75|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|14|NASDAQ|2020|02|28|15|30|5700|25.969999|25.610001|25.723|25.610001|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|15|NASDAQ|2020|02|27|15|30|19100|26.01|25.610001|25.613001|25.73|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|16|NASDAQ|2020|02|26|15|30|4300|25.938999|25.780001|25.82|25.9|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|17|NASDAQ|2020|02|25|15|30|6400|26|25.790001|25.895|25.92|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|18|NASDAQ|2020|02|24|15|30|1700|25.92|25.780001|25.92|25.780001|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|19|NASDAQ|2020|02|21|15|30|2100|25.889999|25.780001|25.875999|25.889999|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|20|NASDAQ|2020|02|20|15|30|7000|25.889999|25.719999|25.889999|25.73|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|21|NASDAQ|2020|02|19|15|30|5400|25.799|25.700001|25.709999|25.799|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|22|NASDAQ|2020|02|18|15|30|16700|25.774|25.719999|25.73|25.73|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|23|NASDAQ|2020|02|14|15|30|3600|26.09|25.969999|25.969999|26|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|24|NASDAQ|2020|02|13|15|30|1400|26.09|25.936001|25.936001|26.09|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|25|NASDAQ|2020|02|12|15|30|1800|26.08|25.910999|26|26.08|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|26|NASDAQ|2020|02|11|15|30|1400|26|25.889999|25.988001|25.889999|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|27|NASDAQ|2020|02|10|15|30|8200|26.1|25.92|25.941999|26.07|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|28|NASDAQ|2020|02|07|15|30|4400|26.1|25.889999|26|26.1|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
LANDP|29|NASDAQ|2020|02|06|15|30|2200|26.059999|25.965|26.055|26.01|reitindustrial|-|-|-|199.600006|6.42|-|usa|-|-|-|-|financial|6.52|-
