empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LEDS|0|NASDAQ|2020|03|19|14|30|40900|1.45|1.12|1.37|1.12|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|1|NASDAQ|2020|03|18|14|30|15500|1.21|1.1|1.18|1.19|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|2|NASDAQ|2020|03|17|14|30|31200|1.49|1.1|1.22|1.12|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|3|NASDAQ|2020|03|16|14|30|43000|1.33|1.03|1.22|1.33|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|4|NASDAQ|2020|03|13|14|30|57700|1.68|1.25|1.37|1.62|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|5|NASDAQ|2020|03|12|14|30|28700|1.75|1.6|1.67|1.6|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|6|NASDAQ|2020|03|11|14|30|84000|1.84|1.51|1.83|1.74|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|7|NASDAQ|2020|03|10|14|30|53500|1.96|1.76|1.78|1.86|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|8|NASDAQ|2020|03|09|14|30|122700|2.07|1.8|1.83|2.02|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|9|NASDAQ|2020|03|06|15|30|56800|2.26|2.07|2.07|2.22|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|10|NASDAQ|2020|03|05|15|30|35300|2.24|2.15|2.18|2.23|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|11|NASDAQ|2020|03|04|15|30|84100|2.39|2.19|2.23|2.39|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|12|NASDAQ|2020|03|03|15|30|329300|2.46|2.08|2.36|2.09|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|13|NASDAQ|2020|03|02|15|30|63400|2.34|2.11|2.13|2.25|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|14|NASDAQ|2020|02|28|15|30|548600|2.8|2.01|2.24|2.8|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|15|NASDAQ|2020|02|27|15|30|1074400|2.88|2.01|2.51|2.11|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|16|NASDAQ|2020|02|26|15|30|676000|2.53|2.05|2.09|2.5|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|17|NASDAQ|2020|02|25|15|30|579200|2.4|2|2.39|2.02|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|18|NASDAQ|2020|02|24|15|30|34800|2.08|2|2.04|2.03|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|19|NASDAQ|2020|02|21|15|30|44200|2.14|2|2.02|2.04|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|20|NASDAQ|2020|02|20|15|30|29500|2.15|2.05|2.08|2.11|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|21|NASDAQ|2020|02|19|15|30|444400|2.43|2.03|2.14|2.09|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|22|NASDAQ|2020|02|18|15|30|19600|2.07|2.03|2.06|2.03|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|23|NASDAQ|2020|02|14|15|30|29100|2.15|2.01|2.05|2.01|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|24|NASDAQ|2020|02|13|15|30|50200|2.14|2|2|2.12|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|25|NASDAQ|2020|02|12|15|30|22200|2.1|2.03|2.08|2.07|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|26|NASDAQ|2020|02|11|15|30|21400|2.1|2.01|2.02|2.09|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|27|NASDAQ|2020|02|10|15|30|235900|2.24|1.98|2.06|1.98|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|28|NASDAQ|2020|02|07|15|30|77900|2.01|1.98|2|2.01|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|29|NASDAQ|2020|02|06|15|30|11400|2.07|2.02|2.02|2.06|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|30|NASDAQ|2020|02|05|15|30|10700|2.07|2.01|2.06|2.02|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|31|NASDAQ|2020|02|04|15|30|44700|2.08|2|2.02|2.03|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|32|NASDAQ|2020|02|03|15|30|25500|2.1|2.01|2.04|2.03|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|33|NASDAQ|2020|01|31|15|30|23600|2.08|2.01|2.03|2.04|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|34|NASDAQ|2020|01|30|15|30|20300|2.05|2.01|2.04|2.04|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|35|NASDAQ|2020|01|29|15|30|11100|2.1|2.04|2.04|2.1|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|36|NASDAQ|2020|01|28|15|30|17600|2.09|2.03|2.03|2.07|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|37|NASDAQ|2020|01|27|15|30|27500|2.11|2.02|2.02|2.09|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|38|NASDAQ|2020|01|24|15|30|33700|2.18|2.1|2.1|2.12|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|39|NASDAQ|2020|01|23|15|30|104600|2.19|2.02|2.1|2.06|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|40|NASDAQ|2020|01|22|15|30|111900|2.18|2.05|2.11|2.17|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|41|NASDAQ|2020|01|21|15|30|1218200|2.49|2.07|2.3|2.45|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|42|NASDAQ|2020|01|17|15|30|655600|2.04|2|2.01|2.01|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|43|NASDAQ|2020|01|16|15|30|24700|2.05|1.98|2|2|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
LEDS|44|NASDAQ|2020|01|15|15|30|40500|2.08|1.98|1.99|2.05|semiconductormemorychips|0.5|0.6|1|-|-|136|taiwan|4.5|4.21|-|Apr 08 AMC|technology|1.3|5.53
