empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LMFA|0|NASDAQ|2020|03|19|14|30|26700|0.57|0.391|0.446|0.43|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|1|NASDAQ|2020|03|18|14|30|25400|0.45|0.35|0.428|0.44|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|2|NASDAQ|2020|03|17|14|30|37900|0.57|0.42|0.49|0.554|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|3|NASDAQ|2020|03|16|14|30|6500|0.572|0.449|0.528|0.572|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|4|NASDAQ|2020|03|13|14|30|21800|0.567|0.53|0.56|0.53|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|5|NASDAQ|2020|03|12|14|30|29600|0.65|0.51|0.52|0.65|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|6|NASDAQ|2020|03|11|14|30|16800|0.74|0.669|0.7|0.74|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|7|NASDAQ|2020|03|10|14|30|19700|0.79|0.68|0.74|0.77|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|8|NASDAQ|2020|03|09|14|30|13200|0.813|0.77|0.79|0.79|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|9|NASDAQ|2020|03|06|15|30|2000|0.886|0.8|0.82|0.805|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|10|NASDAQ|2020|03|05|15|30|5400|0.83|0.821|0.821|0.83|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|11|NASDAQ|2020|03|04|15|30|5500|0.894|0.8|0.83|0.86|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|12|NASDAQ|2020|03|03|15|30|10500|0.866|0.79|0.79|0.82|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|13|NASDAQ|2020|03|02|15|30|2300|0.86|0.804|0.854|0.804|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|14|NASDAQ|2020|02|28|15|30|15500|0.86|0.78|0.86|0.78|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|15|NASDAQ|2020|02|27|15|30|24600|0.82|0.781|0.81|0.781|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|16|NASDAQ|2020|02|26|15|30|3600|0.832|0.78|0.83|0.832|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|17|NASDAQ|2020|02|25|15|30|29300|0.86|0.79|0.793|0.851|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|18|NASDAQ|2020|02|24|15|30|3200|0.899|0.83|0.83|0.889|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|19|NASDAQ|2020|02|21|15|30|3900|0.899|0.842|0.891|0.899|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|20|NASDAQ|2020|02|20|15|30|29200|0.899|0.86|0.88|0.882|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|21|NASDAQ|2020|02|19|15|30|17600|0.899|0.86|0.893|0.873|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|22|NASDAQ|2020|02|18|15|30|15100|0.99|0.88|0.881|0.92|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|23|NASDAQ|2020|02|14|15|30|6500|0.94|0.86|0.902|0.9|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|24|NASDAQ|2020|02|13|15|30|2900|0.9|0.83|0.832|0.83|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|25|NASDAQ|2020|02|12|15|30|10600|0.89|0.84|0.88|0.84|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|26|NASDAQ|2020|02|11|15|30|9200|0.89|0.846|0.862|0.88|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|27|NASDAQ|2020|02|10|15|30|22900|0.901|0.85|0.87|0.901|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
LMFA|28|NASDAQ|2020|02|07|15|30|28600|0.93|0.901|0.93|0.926|creditservices|43.049999|-|-|-|-|10|usa|0.89|0.89|-|-|financial|1.7|1.72
