empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MGRC|0|NASDAQ|2020|03|19|14|30|270600|50.150002|45.029999|48.77|46.34|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|1|NASDAQ|2020|03|18|14|30|244700|51.380001|46.240002|46.580002|49.009998|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|2|NASDAQ|2020|03|17|14|30|207100|52.189999|49.459999|51.98|49.59|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|3|NASDAQ|2020|03|16|14|30|232500|51.400002|48|49.43|48|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|4|NASDAQ|2020|03|13|14|30|244600|55.25|47.619999|55.150002|49.939999|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|5|NASDAQ|2020|03|12|14|30|200800|52.220001|46.450001|47.139999|49.73|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|6|NASDAQ|2020|03|11|14|30|162500|56.799999|52.009998|53.119999|56.389999|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|7|NASDAQ|2020|03|10|14|30|228500|58.290001|54.119999|58.150002|56.57|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|8|NASDAQ|2020|03|09|14|30|218300|61.509998|54.990002|55.310001|61.169998|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
MGRC|9|NASDAQ|2020|03|06|15|30|149700|65.919998|63.580002|65.349998|65.440002|rentalleasingservices|0.6|-|-|13.01|3.28|1099|usa|0.46|0.46|7.42|Feb 25 AMC|services|87.699997|1240
