empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MOR|0|NASDAQ|2020|03|19|14|30|142700|20.219999|18.209999|19.67|18.51|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|1|NASDAQ|2020|03|18|14|30|71500|19.709999|18.219999|18.860001|19.120001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|2|NASDAQ|2020|03|17|14|30|48300|20.790001|20.028|20.51|20.41|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|3|NASDAQ|2020|03|16|14|30|70100|21.77|19.74|20.59|20|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|4|NASDAQ|2020|03|13|14|30|120100|24.09|21.870001|23.110001|24.09|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|5|NASDAQ|2020|03|12|14|30|93900|23.450001|22.280001|22.555|22.870001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|6|NASDAQ|2020|03|11|14|30|66200|26.42|24.85|25.26|26.360001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|7|NASDAQ|2020|03|10|14|30|89000|27.75|26.52|27.42|27.68|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|8|NASDAQ|2020|03|09|14|30|89000|27.01|26.120001|26.57|26.360001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|9|NASDAQ|2020|03|06|15|30|38100|28.23|27.653999|28.01|28.17|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|10|NASDAQ|2020|03|05|15|30|44500|29.4|28.620001|28.860001|29.17|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|11|NASDAQ|2020|03|04|15|30|129100|30.02|28.91|30|29.190001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|12|NASDAQ|2020|03|03|15|30|100000|28.780001|27.610001|27.65|28.52|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|13|NASDAQ|2020|03|02|15|30|286000|28.040001|26.9|27.9|27.219999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|14|NASDAQ|2020|02|28|15|30|180100|26.889999|26.08|26.690001|26.190001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|15|NASDAQ|2020|02|27|15|30|242800|27.83|26.700001|27|26.9|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|16|NASDAQ|2020|02|26|15|30|137900|28.549999|27.629999|27.98|28.360001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|17|NASDAQ|2020|02|25|15|30|142000|29.77|28.5|28.5|29.709999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|18|NASDAQ|2020|02|24|15|30|153100|29.92|29.34|29.52|29.639999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|19|NASDAQ|2020|02|21|15|30|81400|31.24|30.870001|30.91|31.129999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|20|NASDAQ|2020|02|20|15|30|102300|31.18|30.6|30.75|30.950001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|21|NASDAQ|2020|02|19|15|30|134300|31.33|30.889999|31.09|31.07|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|22|NASDAQ|2020|02|18|15|30|82400|30.84|30.5|30.629999|30.75|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|23|NASDAQ|2020|02|14|15|30|93400|31.15|30.700001|30.76|31.139999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|24|NASDAQ|2020|02|13|15|30|86000|31.75|30.690001|31.48|30.9|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|25|NASDAQ|2020|02|12|15|30|63000|31.049999|30.6|30.68|31.049999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|26|NASDAQ|2020|02|11|15|30|86500|31.49|31.01|31.01|31.290001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|27|NASDAQ|2020|02|10|15|30|113500|30.99|30.290001|30.42|30.77|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|28|NASDAQ|2020|02|07|15|30|93300|31.93|31.08|31.379999|31.879999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|29|NASDAQ|2020|02|06|15|30|275100|32.59|31.690001|32.509998|31.83|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|30|NASDAQ|2020|02|05|15|30|203900|32.235001|31.32|32.040001|31.42|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|31|NASDAQ|2020|02|04|15|30|103600|31.559999|31.274|31.41|31.360001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|32|NASDAQ|2020|02|03|15|30|135400|31.43|31.059999|31.32|31.120001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|33|NASDAQ|2020|01|31|15|30|116700|31.85|31.23|31.690001|31.73|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|34|NASDAQ|2020|01|30|15|30|51800|31.93|31.239|31.450001|31.92|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|35|NASDAQ|2020|01|29|15|30|80800|32.59|32.099998|32.32|32.41|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|36|NASDAQ|2020|01|28|15|30|118100|32.48|32.091|32.400002|32.349998|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|37|NASDAQ|2020|01|27|15|30|91100|32.459999|32|32.169998|32.18|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|38|NASDAQ|2020|01|24|15|30|87200|33.294998|32.470001|32.810001|33.23|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|39|NASDAQ|2020|01|23|15|30|99000|33.48|33.119999|33.200001|33.209999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|40|NASDAQ|2020|01|22|15|30|145300|33.369999|32.93|33.110001|33.07|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|41|NASDAQ|2020|01|21|15|30|64800|33.209999|32.865002|33.040001|32.939999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|42|NASDAQ|2020|01|17|15|30|75100|33.07|32.59|32.880001|33.07|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|43|NASDAQ|2020|01|16|15|30|80800|33.59|33.099998|33.560001|33.099998|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|44|NASDAQ|2020|01|15|15|30|245600|33.610001|32.759998|32.98|33.02|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|45|NASDAQ|2020|01|14|15|30|286400|34.110001|33.369999|33.970001|33.450001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|46|NASDAQ|2020|01|13|15|30|383100|36.110001|34.189999|34.310001|36.029999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|47|NASDAQ|2020|01|10|15|30|125700|37.960999|37.099998|37.290001|37.740002|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|48|NASDAQ|2020|01|09|15|30|65900|37.740002|37.349998|37.360001|37.580002|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|49|NASDAQ|2020|01|08|15|30|36700|36.09|35.490002|35.77|35.619999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|50|NASDAQ|2020|01|07|15|30|42300|35.360001|34.939999|35.279999|35.119999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|51|NASDAQ|2020|01|06|15|30|55100|34.695|34|34.57|34.189999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|52|NASDAQ|2020|01|03|15|30|30600|35.470001|34.669998|35|34.689999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|53|NASDAQ|2020|01|02|15|30|75300|36.139999|35.689999|36.02|35.77|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|54|NASDAQ|2019|12|31|15|30|12900|35.869999|35.540001|35.669998|35.799999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|55|NASDAQ|2019|12|30|15|30|15000|36.32|35.790001|35.84|36.290001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|56|NASDAQ|2019|12|27|15|30|20500|36.380001|35.799999|36.209999|35.970001|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|57|NASDAQ|2019|12|26|15|30|29800|36.125|35.814999|36.075001|36.029999|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|58|NASDAQ|2019|12|24|15|30|11900|35.880001|35.68|35.84|35.68|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
MOR|59|NASDAQ|2019|12|23|15|30|48600|35.889999|35.34|35.560001|35.34|biotechnology|-|-|-|-|-|-|germany|-|-|-103.300003|Mar 18 AMC|healthcare|7.12|3240
