empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NATI|0|NASDAQ|2020|03|19|14|30|768900|26.719999|20.42|26.17|21.07|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|1|NASDAQ|2020|03|18|14|30|1161800|27.6|20.549999|21.27|26.01|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|2|NASDAQ|2020|03|17|14|30|1399300|29.17|27.1|27.709999|28.889999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|3|NASDAQ|2020|03|16|14|30|897400|33.599998|28.120001|28.209999|31.200001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|4|NASDAQ|2020|03|13|14|30|912700|34.130001|31.549999|34.110001|32.619999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|5|NASDAQ|2020|03|12|14|30|642300|32.880001|30.299999|31.1|31.780001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|6|NASDAQ|2020|03|11|14|30|547900|37.09|33.400002|33.860001|35.450001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|7|NASDAQ|2020|03|10|14|30|785500|36.740002|34.779999|36.490002|36.279999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|8|NASDAQ|2020|03|09|14|30|607700|38.700001|35.34|35.419998|37.43|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|9|NASDAQ|2020|03|06|15|30|737600|39.990002|38.43|39.880001|38.43|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|10|NASDAQ|2020|03|05|15|30|548500|39.810001|38.860001|39.630001|39.549999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|11|NASDAQ|2020|03|04|15|30|406100|40.459999|39.380001|40.459999|39.82|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|12|NASDAQ|2020|03|03|15|30|751200|41.279999|39.099998|39.240002|40.080002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|13|NASDAQ|2020|03|02|15|30|942400|40.860001|39.189999|40.310001|40.560001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|14|NASDAQ|2020|02|28|15|30|1213900|40.330002|38.27|40.279999|38.759998|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|15|NASDAQ|2020|02|27|15|30|923200|41.009998|40.130001|40.130001|40.799999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|16|NASDAQ|2020|02|26|15|30|717200|42.130001|41.209999|41.549999|41.400002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|17|NASDAQ|2020|02|25|15|30|1036300|42.23|40.849998|41.18|42.200001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|18|NASDAQ|2020|02|24|15|30|1261200|42.810001|41.619999|41.779999|42.330002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|19|NASDAQ|2020|02|21|15|30|408200|44.529999|43.790001|43.830002|44.400002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|20|NASDAQ|2020|02|20|15|30|458300|44.810001|43.959999|44.52|44.490002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|21|NASDAQ|2020|02|19|15|30|691400|45.099998|44.52|44.57|44.759998|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|22|NASDAQ|2020|02|18|15|30|471000|44.889999|44.360001|44.709999|44.630001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|23|NASDAQ|2020|02|14|15|30|378200|45.130001|44.740002|44.880001|45.02|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|24|NASDAQ|2020|02|13|15|30|418200|45.540001|44.82|45.240002|45.07|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|25|NASDAQ|2020|02|12|15|30|314800|45.599998|45.009998|45.490002|45.189999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|26|NASDAQ|2020|02|11|15|30|409300|45.740002|44.779999|44.970001|45.060001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|27|NASDAQ|2020|02|10|15|30|294300|45.18|44.73|44.93|45|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|28|NASDAQ|2020|02|07|15|30|459600|45.830002|44.990002|45.07|45.73|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|29|NASDAQ|2020|02|06|15|30|496900|46.380001|45.880001|45.990002|46.139999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|30|NASDAQ|2020|02|05|15|30|884900|46.450001|45.759998|46.139999|46.34|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|31|NASDAQ|2020|02|04|15|30|1157800|46.150002|45.52|46.029999|45.880001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|32|NASDAQ|2020|02|03|15|30|1963500|45.790001|44.560001|45.700001|44.700001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|33|NASDAQ|2020|01|31|15|30|1983700|47.889999|43.84|44.630001|46.07|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|34|NASDAQ|2020|01|30|15|30|488300|43.740002|43.029999|43.73|43.279999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|35|NASDAQ|2020|01|29|15|30|351600|44.900002|43.639999|43.66|44.900002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|36|NASDAQ|2020|01|28|15|30|469800|45|44.330002|44.560001|45|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|37|NASDAQ|2020|01|27|15|30|430000|44.959999|44.310001|44.509998|44.619999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|38|NASDAQ|2020|01|24|15|30|358000|46.41|45.34|45.459999|46.41|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|39|NASDAQ|2020|01|23|15|30|601600|46.34|45.330002|46.259998|45.66|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|40|NASDAQ|2020|01|22|15|30|687900|45.84|45.16|45.560001|45.759998|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|41|NASDAQ|2020|01|21|15|30|574700|46.099998|45.5|45.580002|45.75|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|42|NASDAQ|2020|01|17|15|30|877200|46.610001|45.389999|46.080002|46.450001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|43|NASDAQ|2020|01|16|15|30|867400|45.48|44.59|45.470001|44.919998|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|44|NASDAQ|2020|01|15|15|30|504400|44.939999|44.290001|44.52|44.43|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|45|NASDAQ|2020|01|14|15|30|419300|44.5|43.759998|44.400002|44.360001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|46|NASDAQ|2020|01|13|15|30|734400|44.5|43.509998|44.439999|43.509998|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|47|NASDAQ|2020|01|10|15|30|660400|44.099998|43.18|43.369999|44.049999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|48|NASDAQ|2020|01|09|15|30|2290500|44.389999|42.810001|44.099998|42.93|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|49|NASDAQ|2020|01|08|15|30|535100|42.150002|41.66|41.880001|41.93|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|50|NASDAQ|2020|01|07|15|30|353700|42.099998|41.68|41.950001|41.939999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|51|NASDAQ|2020|01|06|15|30|578200|42.23|41.75|41.919998|42.02|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|52|NASDAQ|2020|01|03|15|30|532700|42.509998|41.790001|42.360001|41.790001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|53|NASDAQ|2020|01|02|15|30|534600|42.790001|42.09|42.700001|42.529999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|54|NASDAQ|2019|12|31|15|30|500700|42.66|42.200001|42.34|42.290001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|55|NASDAQ|2019|12|30|15|30|364800|42.529999|42.049999|42.380001|42.5|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|56|NASDAQ|2019|12|27|15|30|217000|42.810001|42.349998|42.490002|42.709999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|57|NASDAQ|2019|12|26|15|30|157100|42.990002|42.52|42.599998|42.610001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|58|NASDAQ|2019|12|24|15|30|89800|43.040001|42.450001|42.57|43.040001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|59|NASDAQ|2019|12|23|15|30|574300|43.540001|42.41|43.049999|42.82|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|60|NASDAQ|2019|12|20|15|30|1883500|42.900002|42.310001|42.529999|42.900002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|61|NASDAQ|2019|12|19|15|30|453600|42.73|41.970001|42.700001|42.41|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|62|NASDAQ|2019|12|18|15|30|785000|42.66|41.700001|42.34|42.509998|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|63|NASDAQ|2019|12|17|15|30|677300|42.919998|41.740002|42.630001|42.580002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|64|NASDAQ|2019|12|16|15|30|448900|42.970001|42.349998|42.48|42.759998|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|65|NASDAQ|2019|12|13|15|30|533300|42.900002|42.139999|42.549999|42.400002|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|66|NASDAQ|2019|12|12|15|30|715000|42.759998|41.75|42.299999|41.779999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|67|NASDAQ|2019|12|11|15|30|234100|42.110001|41.610001|41.82|42.02|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|68|NASDAQ|2019|12|10|15|30|682700|42.450001|41.610001|41.93|41.860001|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|69|NASDAQ|2019|12|09|15|30|523400|42.119999|41.59|41.93|41.779999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|70|NASDAQ|2019|12|06|15|30|561900|42.060001|41.450001|41.84|41.52|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|71|NASDAQ|2019|12|05|15|30|368200|41.490002|40.939999|41.18|41.25|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
NATI|72|NASDAQ|2019|12|04|15|30|504800|41.73|41.07|41.139999|41.139999|technicalsystemsoftware|0.8|2.4|3.1|25.690001|3.31|7300|usa|0|0|-28.719999|Apr 30 AMC|technology|84.099998|3340
