empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NCMI|0|NASDAQ|2020|03|19|14|30|2357500|3.17|1.81|3.02|1.85|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|1|NASDAQ|2020|03|18|14|30|1530700|2.67|1.62|1.86|2.61|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|2|NASDAQ|2020|03|17|14|30|806300|3.14|2.7|2.71|3.12|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|3|NASDAQ|2020|03|16|14|30|1345200|3.28|2.96|3.11|3.09|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|4|NASDAQ|2020|03|13|14|30|1360500|3.85|3.26|3.34|3.69|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|5|NASDAQ|2020|03|12|14|30|986400|4.61|3.41|3.46|4.58|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|6|NASDAQ|2020|03|11|14|30|883700|5.51|4.74|4.79|5.35|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|7|NASDAQ|2020|03|10|14|30|869300|5.75|5.18|5.48|5.65|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|8|NASDAQ|2020|03|09|14|30|1098600|6.02|5.41|5.47|6|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|9|NASDAQ|2020|03|06|15|30|1265300|6.4|6.22|6.34|6.38|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|10|NASDAQ|2020|03|05|15|30|1245500|6.98|6.44|6.53|6.92|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|11|NASDAQ|2020|03|04|15|30|952100|7.35|6.85|7.07|7.3|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|12|NASDAQ|2020|03|03|15|30|839400|7.54|6.91|7.18|7.53|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|13|NASDAQ|2020|03|02|15|30|997600|7.68|7.18|7.49|7.62|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|14|NASDAQ|2020|02|28|15|30|1040000|7.92|7.52|7.69|7.77|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|15|NASDAQ|2020|02|27|15|30|882100|8.32|7.76|8.06|8.15|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|16|NASDAQ|2020|02|26|15|30|808100|8.63|8.25|8.29|8.47|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|17|NASDAQ|2020|02|25|15|30|1255300|8.77|8.25|8.4|8.73|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|18|NASDAQ|2020|02|24|15|30|1120300|9.3|8.6|8.73|9.24|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|19|NASDAQ|2020|02|21|15|30|2703500|9.85|8.97|9.37|9.21|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|20|NASDAQ|2020|02|20|15|30|450800|8|7.82|8|7.94|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|21|NASDAQ|2020|02|19|15|30|142400|7.97|7.86|7.93|7.88|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|22|NASDAQ|2020|02|18|15|30|390400|7.92|7.69|7.87|7.69|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|23|NASDAQ|2020|02|14|15|30|307900|7.79|7.68|7.73|7.78|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|24|NASDAQ|2020|02|13|15|30|113400|7.79|7.68|7.78|7.73|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|25|NASDAQ|2020|02|12|15|30|142800|7.83|7.71|7.73|7.83|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|26|NASDAQ|2020|02|11|15|30|177500|7.8|7.71|7.79|7.78|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|27|NASDAQ|2020|02|10|15|30|174900|7.78|7.52|7.76|7.67|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|28|NASDAQ|2020|02|07|15|30|198800|7.79|7.65|7.7|7.74|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|29|NASDAQ|2020|02|06|15|30|442300|7.85|7.72|7.73|7.74|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|30|NASDAQ|2020|02|05|15|30|307000|7.86|7.58|7.75|7.6|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
NCMI|31|NASDAQ|2020|02|04|15|30|271700|7.58|7.38|7.54|7.42|marketingservices|2.6|2.1|2.1|6.63|22.15|531|usa|-|-|4.84|Feb 20 AMC|services|98|150.550003
