empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PBCT|0|NASDAQ|2020|03|19|14|30|6983600|13.92|12.61|13.12|13.55|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|1|NASDAQ|2020|03|18|14|30|9356000|13.95|12.9|13.84|13.07|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|2|NASDAQ|2020|03|17|14|30|9090800|14.03|11.62|13.99|12.13|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|3|NASDAQ|2020|03|16|14|30|5969800|12.49|10.81|11.83|11.37|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|4|NASDAQ|2020|03|13|14|30|6731900|12.89|11.58|12.86|12.11|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|5|NASDAQ|2020|03|12|14|30|6513000|12.3|10.83|11.21|11.69|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|6|NASDAQ|2020|03|11|14|30|10224600|13.38|12.44|12.49|13.29|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|7|NASDAQ|2020|03|10|14|30|7870300|13.87|12.57|13.81|13.51|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|8|NASDAQ|2020|03|09|14|30|5292200|13.24|11.92|13.21|13.04|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|9|NASDAQ|2020|03|06|15|30|7328700|14.33|13.61|14.09|13.72|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|10|NASDAQ|2020|03|05|15|30|5966800|14.42|14.04|14.26|14.3|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|11|NASDAQ|2020|03|04|15|30|5655900|14.91|14.31|14.84|14.59|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|12|NASDAQ|2020|03|03|15|30|9763900|15.24|14.26|14.5|14.78|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|13|NASDAQ|2020|03|02|15|30|8315100|14.89|13.84|14.89|13.98|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|14|NASDAQ|2020|02|28|15|30|9953200|14.28|13.7|13.99|14.06|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|15|NASDAQ|2020|02|27|15|30|6627400|15.12|14.45|14.47|14.81|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|16|NASDAQ|2020|02|26|15|30|5760600|15.55|15.04|15.04|15.46|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|17|NASDAQ|2020|02|25|15|30|6883200|16.01|15.36|15.39|15.98|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|18|NASDAQ|2020|02|24|15|30|4987500|16.07|15.82|15.97|15.89|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|19|NASDAQ|2020|02|21|15|30|4079600|16.32|16.129999|16.290001|16.25|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|20|NASDAQ|2020|02|20|15|30|2996600|16.360001|16.07|16.35|16.120001|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|21|NASDAQ|2020|02|19|15|30|2277400|16.15|16.030001|16.1|16.1|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|22|NASDAQ|2020|02|18|15|30|3052700|16.23|15.98|16.030001|16.17|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|23|NASDAQ|2020|02|14|15|30|2308800|16.34|16.200001|16.25|16.32|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
PBCT|24|NASDAQ|2020|02|13|15|30|3183700|16.34|16.129999|16.32|16.190001|savingsloans|0.3|-|-|9.09|6.13|6110|usa|0.13|0.13|2.11|Apr 16 AMC|financial|79.5|5300.000488
