empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PROV|0|NASDAQ|2020|03|19|14|30|19400|14.92|12|14.9|12|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|1|NASDAQ|2020|03|18|14|30|10700|13.57|12.27|12.27|13.57|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|2|NASDAQ|2020|03|17|14|30|26200|14.28|13.06|14.28|13.06|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|3|NASDAQ|2020|03|16|14|30|17200|14.36|13.05|13.45|13.22|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|4|NASDAQ|2020|03|13|14|30|14700|14.82|13.98|14.64|14.19|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|5|NASDAQ|2020|03|12|14|30|12400|15.23|13.51|14|15|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|6|NASDAQ|2020|03|11|14|30|10400|16.889999|15.76|15.77|16.889999|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|7|NASDAQ|2020|03|10|14|30|8600|17.280001|16.459999|16.799999|16.790001|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|8|NASDAQ|2020|03|09|14|30|12200|17.379999|16.01|16.23|17.25|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|9|NASDAQ|2020|03|06|15|30|8400|18.49|17.93|18.23|18.49|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|10|NASDAQ|2020|03|05|15|30|37600|19.629999|19|19.309999|19.629999|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
PROV|11|NASDAQ|2020|03|04|15|30|8800|19.940001|19.559999|19.92|19.860001|savingsloans|1.1|-|-|19.4|3.95|184|usa|0|0|7.17|Apr 27 BMO|financial|60.299999|87.230003
