empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PSCU|0|NASDAQ|2020|03|19|14|30|4300|46.240002|43.880001|46.09|43.880001|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|1|NASDAQ|2020|03|18|14|30|1900|45.259998|43.810001|44.310001|43.810001|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|2|NASDAQ|2020|03|17|14|30|5400|46.529999|42.27|46.529999|42.27|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|3|NASDAQ|2020|03|16|14|30|6200|42.830002|40.16|42.150002|40.790001|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|4|NASDAQ|2020|03|13|14|30|8900|45.549999|43.119999|45.549999|45.529999|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|5|NASDAQ|2020|03|12|14|30|4400|44.25|42.93|43.299999|43.150002|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|6|NASDAQ|2020|03|11|14|30|3600|48.48|47.349998|47.439999|48.310001|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|7|NASDAQ|2020|03|10|14|30|8200|49.889999|47.869999|49.889999|48.639999|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|8|NASDAQ|2020|03|09|14|30|2900|49.259998|48.259998|48.490002|48.630001|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|9|NASDAQ|2020|03|06|15|30|4400|51.720001|50.720001|51.049999|50.720001|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|10|NASDAQ|2020|03|05|15|30|1400|52.52|51.98|52.169998|52.119999|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|11|NASDAQ|2020|03|04|15|30|3900|53.369999|52.07|53.369999|52.07|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|12|NASDAQ|2020|03|03|15|30|3200|52.09|51.330002|51.330002|51.73|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|13|NASDAQ|2020|03|02|15|30|3300|51.799999|50.029999|51.799999|50.029999|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|14|NASDAQ|2020|02|28|15|30|6400|51.34|49.779999|50.560001|50.580002|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|15|NASDAQ|2020|02|27|15|30|6500|53.18|51.990002|51.990002|53.16|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|16|NASDAQ|2020|02|26|15|30|2700|54.75|53.880001|53.880001|54.02|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|17|NASDAQ|2020|02|25|15|30|400|55.049999|54.110001|54.110001|55.049999|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
PSCU|18|NASDAQ|2020|02|24|15|30|3500|56.07|55.369999|55.860001|55.810001|exchangetradedfund|-|-|-|-|2.38|-|usa|-|-|-|-|financial|-|-
