empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PSMT|0|NASDAQ|2020|03|19|14|30|309100|48.169998|44.299999|46.59|45.689999|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|1|NASDAQ|2020|03|18|14|30|249600|46.299999|41.689999|44.25|43.619999|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|2|NASDAQ|2020|03|17|14|30|350000|48.860001|41.32|45.700001|43.77|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|3|NASDAQ|2020|03|16|14|30|252100|43.41|41.150002|42.939999|42.130001|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|4|NASDAQ|2020|03|13|14|30|198000|48.950001|42.919998|46.389999|45.459999|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|5|NASDAQ|2020|03|12|14|30|175300|48.220001|43.529999|43.73|48.220001|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|6|NASDAQ|2020|03|11|14|30|114200|53.299999|50.25|50.709999|52.709999|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|7|NASDAQ|2020|03|10|14|30|140600|54.009998|51.009998|53.939999|52.709999|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|8|NASDAQ|2020|03|09|14|30|341000|53.43|50.830002|51.650002|52.099998|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
PSMT|9|NASDAQ|2020|03|06|15|30|178900|56.310001|53.330002|54.73|53.330002|discountvarietystores|15|0.4|1.2|19.780001|1.39|9000|usa|0.17|0.12|16.280001|Apr 08 AMC|services|83.099998|1460
