empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PWFL|0|NASDAQ|2020|03|19|14|30|208300|3.44|2.55|3.41|2.77|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|1|NASDAQ|2020|03|18|14|30|210900|3.1|2.6|2.8|2.94|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|2|NASDAQ|2020|03|17|14|30|345100|3.37|3.01|3.1|3.24|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|3|NASDAQ|2020|03|16|14|30|257500|3.46|3.06|3.25|3.46|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|4|NASDAQ|2020|03|13|14|30|561800|4.25|3.34|3.97|4.13|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|5|NASDAQ|2020|03|12|14|30|640500|5.33|3.76|4.39|5.03|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|6|NASDAQ|2020|03|11|14|30|134400|5.85|5.36|5.59|5.78|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|7|NASDAQ|2020|03|10|14|30|108700|6.39|5.62|5.92|6.29|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|8|NASDAQ|2020|03|09|14|30|96200|6.88|6.17|6.17|6.4|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|9|NASDAQ|2020|03|06|15|30|96700|7.17|6.91|6.96|7.1|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|10|NASDAQ|2020|03|05|15|30|86200|7.31|7.09|7.1|7.1|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|11|NASDAQ|2020|03|04|15|30|106700|7.29|7.05|7.22|7.05|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|12|NASDAQ|2020|03|03|15|30|105400|7.19|6.94|7.03|7.07|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|13|NASDAQ|2020|03|02|15|30|89100|7.25|7|7.12|7.07|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|14|NASDAQ|2020|02|28|15|30|166500|7.11|6.95|7.05|7.01|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|15|NASDAQ|2020|02|27|15|30|103600|7.92|7.26|7.26|7.83|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|16|NASDAQ|2020|02|26|15|30|284500|8.37|7.85|7.95|7.85|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|17|NASDAQ|2020|02|25|15|30|158800|7.94|7.81|7.87|7.9|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|18|NASDAQ|2020|02|24|15|30|91300|8.02|7.6|7.9|7.82|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|19|NASDAQ|2020|02|21|15|30|159100|8.08|7.9|8.01|7.9|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|20|NASDAQ|2020|02|20|15|30|174400|8.15|7.52|7.91|8.1|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|21|NASDAQ|2020|02|19|15|30|139700|8.06|7.93|7.95|7.96|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|22|NASDAQ|2020|02|18|15|30|79500|8.13|7.81|7.85|8.1|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|23|NASDAQ|2020|02|14|15|30|85600|8.18|7.95|8.11|8.06|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|24|NASDAQ|2020|02|13|15|30|87900|8.1|7.5|7.97|7.51|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|25|NASDAQ|2020|02|12|15|30|80300|7.6|7.37|7.53|7.37|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|26|NASDAQ|2020|02|11|15|30|39300|7.46|7.25|7.35|7.25|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|27|NASDAQ|2020|02|10|15|30|16700|7.49|7.18|7.18|7.46|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|28|NASDAQ|2020|02|07|15|30|51200|7.58|7.48|7.5|7.5|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|29|NASDAQ|2020|02|06|15|30|54300|7.75|7.3|7.52|7.3|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|30|NASDAQ|2020|02|05|15|30|90900|7.43|7.28|7.3|7.36|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|31|NASDAQ|2020|02|04|15|30|107700|7.42|7.07|7.35|7.28|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|32|NASDAQ|2020|02|03|15|30|87100|7.49|7.2|7.25|7.49|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|33|NASDAQ|2020|01|31|15|30|127900|7.72|7.3|7.54|7.5|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|34|NASDAQ|2020|01|30|15|30|88000|7.59|7.26|7.51|7.33|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|35|NASDAQ|2020|01|29|15|30|64500|7.52|7.35|7.36|7.52|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|36|NASDAQ|2020|01|28|15|30|110900|7.64|7.44|7.56|7.52|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|37|NASDAQ|2020|01|27|15|30|128300|7.81|7.27|7.54|7.48|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|38|NASDAQ|2020|01|24|15|30|39400|8.01|7.67|7.71|8.01|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|39|NASDAQ|2020|01|23|15|30|49300|8.06|7.88|7.96|8.05|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|40|NASDAQ|2020|01|22|15|30|90700|8.14|7.92|8.08|8.06|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|41|NASDAQ|2020|01|21|15|30|99700|8.36|7.9|8.02|8.34|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|42|NASDAQ|2020|01|17|15|30|114300|8.5|8|8.25|8.25|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|43|NASDAQ|2020|01|16|15|30|157300|8.34|8.13|8.26|8.21|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|44|NASDAQ|2020|01|15|15|30|243200|8.15|7.85|8.07|7.91|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|45|NASDAQ|2020|01|14|15|30|291900|8.08|7.18|7.84|7.19|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
PWFL|46|NASDAQ|2020|01|13|15|30|127800|7.19|6.95|7.1|7.07|communicationequipment|3.9|1.1|1.5|-|-|138|usa|0|0|114.220001|Mar 11 AMC|technology|48.400002|80.910004
