empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ROCK|0|NASDAQ|2020|03|19|14|30|470000|39.830002|30.6|39.389999|31.799999|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|1|NASDAQ|2020|03|18|14|30|254500|36.77|31.24|31.450001|35.23|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|2|NASDAQ|2020|03|17|14|30|419000|39.990002|35.619999|37.369999|38.900002|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|3|NASDAQ|2020|03|16|14|30|444300|40.959999|36.700001|38.759998|37.5|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|4|NASDAQ|2020|03|13|14|30|586200|43|39.580002|40.849998|42.77|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|5|NASDAQ|2020|03|12|14|30|324500|45.029999|41.119999|41.279999|44.43|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|6|NASDAQ|2020|03|11|14|30|345600|48.25|45.689999|46.82|48.099998|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|7|NASDAQ|2020|03|10|14|30|437300|51.049999|48.380001|49.200001|51.049999|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|8|NASDAQ|2020|03|09|14|30|283900|50.09|48.279999|49.599998|48.720001|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|9|NASDAQ|2020|03|06|15|30|258500|52.959999|50.09|51.709999|51.990002|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|10|NASDAQ|2020|03|05|15|30|249000|54.970001|52.5|53.330002|53.59|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|11|NASDAQ|2020|03|04|15|30|375400|55|52.450001|54.43|52.84|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|12|NASDAQ|2020|03|03|15|30|267700|54.240002|51.580002|51.939999|52.5|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|13|NASDAQ|2020|03|02|15|30|429500|52.400002|49.639999|52.310001|49.639999|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|14|NASDAQ|2020|02|28|15|30|719300|52.599998|47.799999|50.669998|48.25|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|15|NASDAQ|2020|02|27|15|30|195700|50.66|48.709999|48.709999|50.32|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|16|NASDAQ|2020|02|26|15|30|102600|51.869999|50.75|50.950001|51.73|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|17|NASDAQ|2020|02|25|15|30|332900|53.349998|51.310001|51.59|52.68|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|18|NASDAQ|2020|02|24|15|30|312000|54.360001|52.630001|52.66|54.040001|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|19|NASDAQ|2020|02|21|15|30|151800|55.779999|54.810001|55.34|55.48|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|20|NASDAQ|2020|02|20|15|30|171200|55.689999|54.889999|55.5|54.889999|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|21|NASDAQ|2020|02|19|15|30|120900|55.560001|55|55.029999|55.23|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|22|NASDAQ|2020|02|18|15|30|169700|55.400002|54.630001|55|55.18|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|23|NASDAQ|2020|02|14|15|30|169300|55.84|54.990002|55.369999|55.610001|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|24|NASDAQ|2020|02|13|15|30|141300|55.529999|54.380001|55.209999|54.59|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|25|NASDAQ|2020|02|12|15|30|152300|55.25|54.619999|55|55.25|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|26|NASDAQ|2020|02|11|15|30|92400|55.990002|54.869999|55.25|55.25|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|27|NASDAQ|2020|02|10|15|30|159400|55.900002|54.470001|55.080002|55.310001|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|28|NASDAQ|2020|02|07|15|30|133600|55.360001|54.360001|55.330002|54.59|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|29|NASDAQ|2020|02|06|15|30|72900|54.689999|54.049999|54.52|54.689999|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|30|NASDAQ|2020|02|05|15|30|99200|54.610001|53.77|54.549999|54.610001|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|31|NASDAQ|2020|02|04|15|30|134100|54.91|53.799999|54.18|54.869999|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|32|NASDAQ|2020|02|03|15|30|182000|55.16|53.68|54.18|54.650002|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|33|NASDAQ|2020|01|31|15|30|220700|55.779999|54.349998|54.52|55.580002|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|34|NASDAQ|2020|01|30|15|30|164400|56.139999|55.400002|55.77|55.650002|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|35|NASDAQ|2020|01|29|15|30|182700|56.580002|55.82|56.02|56.369999|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|36|NASDAQ|2020|01|28|15|30|355200|56.419998|54.41|56.18|54.650002|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|37|NASDAQ|2020|01|27|15|30|101400|54.860001|53.220001|54.389999|53.849998|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|38|NASDAQ|2020|01|24|15|30|166000|56.32|54.470001|54.73|56.32|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|39|NASDAQ|2020|01|23|15|30|233600|56.529999|54.669998|56.18|55.07|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|40|NASDAQ|2020|01|22|15|30|488300|55.119999|54|55.060001|54|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|41|NASDAQ|2020|01|21|15|30|157400|53.84|53.41|53.700001|53.720001|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
ROCK|42|NASDAQ|2020|01|17|15|30|181300|54.200001|53.599998|53.82|53.990002|steeliron|0.7|1.6|1.9|21.559999|-|1932|usa|0|0|8.98|Feb 28 BMO|basicmaterials|-|1110
