empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SFBC|0|NASDAQ|2020|03|19|14|30|5100|22.110001|21.01|22|21.99|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|1|NASDAQ|2020|03|18|14|30|3000|23.07|23.059999|23.059999|23.059999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|2|NASDAQ|2020|03|17|14|30|900|25.01|24.9|24.9|25.01|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|3|NASDAQ|2020|03|16|14|30|1100|27.790001|25.719999|25.950001|25.719999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|4|NASDAQ|2020|03|13|14|30|0|31|31|31|31|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|5|NASDAQ|2020|03|12|14|30|0|31|31|31|31|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|6|NASDAQ|2020|03|11|14|30|4500|31|29.66|31|30|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|7|NASDAQ|2020|03|10|14|30|2300|30.709999|30.01|30.709999|30.209999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|8|NASDAQ|2020|03|09|14|30|600|31.1|28.309999|31.1|28.309999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|9|NASDAQ|2020|03|06|15|30|500|34.009998|33.75|33.75|34.009998|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|10|NASDAQ|2020|03|05|15|30|6900|35|35|35|35|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|11|NASDAQ|2020|03|04|15|30|18800|35|34.549999|35|35|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|12|NASDAQ|2020|03|03|15|30|5100|35.630001|34.400002|34.400002|35.630001|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|13|NASDAQ|2020|03|02|15|30|0|36.279999|36.279999|36.279999|36.279999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|14|NASDAQ|2020|02|28|15|30|3300|36.630001|36.099998|36.279999|36.599998|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|15|NASDAQ|2020|02|27|15|30|6800|36.5|36.099998|36.43|36.099998|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|16|NASDAQ|2020|02|26|15|30|400|36.209999|36|36|36.209999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|17|NASDAQ|2020|02|25|15|30|300|36.419998|36.110001|36.110001|36.419998|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|18|NASDAQ|2020|02|24|15|30|200|36.68|36.68|36.68|36.68|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|19|NASDAQ|2020|02|21|15|30|100|37.689999|37.689999|37.689999|37.689999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|20|NASDAQ|2020|02|20|15|30|2900|37.5|37.43|37.490002|37.5|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|21|NASDAQ|2020|02|19|15|30|8100|37.23|37.23|37.23|37.23|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|22|NASDAQ|2020|02|18|15|30|500|36.759998|36.759998|36.759998|36.759998|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|23|NASDAQ|2020|02|14|15|30|0|36.950001|36.950001|36.950001|36.950001|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|24|NASDAQ|2020|02|13|15|30|1800|37|36.860001|36.950001|36.860001|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|25|NASDAQ|2020|02|12|15|30|3200|37.200001|36.98|36.990002|37.200001|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|26|NASDAQ|2020|02|11|15|30|300|37.279999|37.279999|37.279999|37.279999|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|27|NASDAQ|2020|02|10|15|30|0|36.540001|36.540001|36.540001|36.540001|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|28|NASDAQ|2020|02|07|15|30|9300|36.540001|36.349998|36.540001|36.43|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|29|NASDAQ|2020|02|06|15|30|0|36.040001|36.040001|36.040001|36.040001|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
SFBC|30|NASDAQ|2020|02|05|15|30|500|36.220001|36.040001|36.040001|36.220001|moneycenterbanks|5.4|-|-|8.52|2.72|117|usa|0|0|-|Apr 28 AMC|financial|40.299999|59.669998
