empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SSRM|0|NASDAQ|2020|03|19|14|30|5731100|13.72|9.83|11.92|11.36|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|1|NASDAQ|2020|03|18|14|30|2537000|13.94|11.13|11.51|11.77|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|2|NASDAQ|2020|03|17|14|30|2873200|13.84|11.64|12.58|11.77|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|3|NASDAQ|2020|03|16|14|30|2349400|12.38|9|11.83|9.04|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|4|NASDAQ|2020|03|13|14|30|2723700|12.6|10.91|11.14|12.36|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|5|NASDAQ|2020|03|12|14|30|2680400|13.65|12.1|12.15|12.93|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|6|NASDAQ|2020|03|11|14|30|2190200|15.64|13.97|14.17|15.64|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|7|NASDAQ|2020|03|10|14|30|2404900|16.030001|14.98|15.73|15.64|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|8|NASDAQ|2020|03|09|14|30|1095400|16.290001|15.47|15.48|16|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|9|NASDAQ|2020|03|06|15|30|1664300|17.360001|16.25|16.799999|17.32|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|10|NASDAQ|2020|03|05|15|30|2820200|17.48|16.790001|17.309999|17.18|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|11|NASDAQ|2020|03|04|15|30|1395900|17.389999|16.639999|16.950001|17.120001|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|12|NASDAQ|2020|03|03|15|30|2339900|17.59|15.96|16.950001|16.360001|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|13|NASDAQ|2020|03|02|15|30|2370100|16.379999|15.86|16.110001|16.049999|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
SSRM|14|NASDAQ|2020|02|28|15|30|3910700|16.559999|15.08|15.83|15.88|gold|3.3|2.8|3.8|26.440001|-|1359|canada|0.26|0.16|25.66|Feb 20 AMC|basicmaterials|75.5|1520
