empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TOUR|0|NASDAQ|2020|03|19|14|30|41700|0.98|0.801|0.848|0.82|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|1|NASDAQ|2020|03|18|14|30|52500|1|0.86|0.89|0.95|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|2|NASDAQ|2020|03|17|14|30|22000|1.03|0.95|0.95|0.98|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|3|NASDAQ|2020|03|16|14|30|40000|1.08|0.94|0.96|0.95|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|4|NASDAQ|2020|03|13|14|30|25300|1.165|1.025|1.13|1.05|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|5|NASDAQ|2020|03|12|14|30|89200|1.3|0.97|1.18|1.3|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|6|NASDAQ|2020|03|11|14|30|24400|1.42|1.3|1.3|1.35|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|7|NASDAQ|2020|03|10|14|30|44700|1.36|1.3|1.36|1.31|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|8|NASDAQ|2020|03|09|14|30|24000|1.44|1.32|1.34|1.44|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|9|NASDAQ|2020|03|06|15|30|118800|1.56|1.5|1.505|1.51|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|10|NASDAQ|2020|03|05|15|30|67100|1.57|1.5|1.56|1.54|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|11|NASDAQ|2020|03|04|15|30|12000|1.69|1.55|1.55|1.56|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|12|NASDAQ|2020|03|03|15|30|18900|1.61|1.51|1.6|1.51|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|13|NASDAQ|2020|03|02|15|30|20800|1.64|1.51|1.6|1.54|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|14|NASDAQ|2020|02|28|15|30|7600|1.6|1.52|1.58|1.52|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|15|NASDAQ|2020|02|27|15|30|50700|1.655|1.5|1.59|1.655|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|16|NASDAQ|2020|02|26|15|30|99400|1.68|1.56|1.62|1.68|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|17|NASDAQ|2020|02|25|15|30|59700|1.82|1.65|1.65|1.82|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|18|NASDAQ|2020|02|24|15|30|36200|1.85|1.74|1.75|1.81|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|19|NASDAQ|2020|02|21|15|30|133200|1.895|1.81|1.81|1.895|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|20|NASDAQ|2020|02|20|15|30|23500|1.91|1.86|1.88|1.86|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|21|NASDAQ|2020|02|19|15|30|42800|1.96|1.85|1.85|1.85|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|22|NASDAQ|2020|02|18|15|30|29500|1.905|1.86|1.86|1.905|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|23|NASDAQ|2020|02|14|15|30|29500|1.892|1.85|1.85|1.89|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
TOUR|24|NASDAQ|2020|02|13|15|30|46600|1.96|1.85|1.85|1.955|recreationalgoodsother|2.5|1.1|1.1|-|-|7355|china|0.05|0|144.399994|Apr 02 BMO|consumergoods|22.700001|138.919998
