empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TRMB|0|NASDAQ|2020|03|19|14|30|6784200|25.620001|20.950001|25.33|21.07|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|1|NASDAQ|2020|03|18|14|30|2724800|22.690001|20.01|21.32|20.65|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|2|NASDAQ|2020|03|17|14|30|4213500|24.809999|20.790001|22.09|24.59|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|3|NASDAQ|2020|03|16|14|30|2096400|26.85|23.15|24.219999|24.370001|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|4|NASDAQ|2020|03|13|14|30|4248800|30.450001|27.370001|28.35|29.32|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|5|NASDAQ|2020|03|12|14|30|2264300|32.25|26.549999|27.049999|30.719999|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|6|NASDAQ|2020|03|11|14|30|2673000|34.610001|32.549999|33.23|34.610001|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|7|NASDAQ|2020|03|10|14|30|3315000|37.98|34.900002|35.669998|37.529999|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|8|NASDAQ|2020|03|09|14|30|2494000|38.799999|36.009998|36.139999|37.310001|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
TRMB|9|NASDAQ|2020|03|06|15|30|4489700|40.439999|38.41|40|38.779999|scientifictechnicalinstruments|0.4|0.8|1|14.64|-|11484|usa|0.59|0.52|13.33|Feb 12 AMC|technology|96.400002|6290
