empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TVIX|0|NASDAQ|2020|03|19|14|30|7959500|985.140015|525.890015|646|893.940002|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|1|NASDAQ|2020|03|18|14|30|8809200|1000|648.01001|806.359985|720|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|2|NASDAQ|2020|03|17|14|30|9347400|653.960022|490.98999|578|555.47998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|3|NASDAQ|2020|03|16|14|30|7872500|627.320007|451.279999|591.25|516.849976|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|4|NASDAQ|2020|03|13|14|30|12517400|437.470001|315.51001|335.399994|317.170013|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|5|NASDAQ|2020|03|12|14|30|16013400|420|320|397.890015|367.649994|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|6|NASDAQ|2020|03|11|14|30|11269000|286.029999|246.839996|270.730011|252.669998|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|7|NASDAQ|2020|03|10|14|30|14031900|258.820007|199.740005|216.860001|202.449997|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|8|NASDAQ|2020|03|09|14|30|14600500|302|233.350006|254.380005|299|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
TVIX|9|NASDAQ|2020|03|06|15|30|21006100|201.559998|165.529999|169.899994|190.710007|exchangetradedfund|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
