empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
UCFC|0|NASDAQ|2020|01|22|15|30|83400|11.88|11.67|11.8|11.8|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|1|NASDAQ|2020|01|21|15|30|135100|11.81|11.53|11.76|11.53|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|2|NASDAQ|2020|01|17|15|30|74900|11.68|11.52|11.54|11.68|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|3|NASDAQ|2020|01|16|15|30|73200|11.65|11.47|11.59|11.47|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|4|NASDAQ|2020|01|15|15|30|91900|11.43|11.33|11.41|11.33|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|5|NASDAQ|2020|01|14|15|30|79600|11.53|11.37|11.37|11.44|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|6|NASDAQ|2020|01|13|15|30|51900|11.49|11.36|11.49|11.43|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|7|NASDAQ|2020|01|10|15|30|74700|11.54|11.36|11.43|11.47|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|8|NASDAQ|2020|01|09|15|30|42300|11.57|11.46|11.51|11.49|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|9|NASDAQ|2020|01|08|15|30|84400|11.51|11.37|11.46|11.37|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|10|NASDAQ|2020|01|07|15|30|71900|11.65|11.41|11.41|11.65|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|11|NASDAQ|2020|01|06|15|30|99100|11.67|11.56|11.6|11.67|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|12|NASDAQ|2020|01|03|15|30|123600|11.85|11.59|11.81|11.59|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|13|NASDAQ|2020|01|02|15|30|95400|11.74|11.65|11.72|11.68|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|14|NASDAQ|2019|12|31|15|30|240600|12.81|11.56|11.66|11.56|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|15|NASDAQ|2019|12|30|15|30|70300|11.6|11.43|11.56|11.43|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|16|NASDAQ|2019|12|27|15|30|49100|11.45|11.35|11.43|11.37|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|17|NASDAQ|2019|12|26|15|30|28700|11.37|11.3|11.36|11.31|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|18|NASDAQ|2019|12|24|15|30|18100|11.33|11.22|11.28|11.27|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|19|NASDAQ|2019|12|23|15|30|54600|11.44|11.25|11.27|11.44|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
UCFC|20|NASDAQ|2019|12|20|15|30|269200|11.5|11.33|11.44|11.4|savingsloans|2|-|-|14.34|2.93|504|usa|0|0|6.82|Jan 28 AMC|financial|66.199997|540.159973
