empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
VERU|0|NASDAQ|2020|03|19|14|30|300700|2.75|2.35|2.64|2.57|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|1|NASDAQ|2020|03|18|14|30|243300|2.75|2.5|2.61|2.65|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|2|NASDAQ|2020|03|17|14|30|265800|2.78|2.46|2.77|2.63|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|3|NASDAQ|2020|03|16|14|30|409900|2.76|2.49|2.58|2.76|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|4|NASDAQ|2020|03|13|14|30|260100|3.01|2.77|2.99|2.93|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|5|NASDAQ|2020|03|12|14|30|599600|3.06|2.66|2.77|2.95|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|6|NASDAQ|2020|03|11|14|30|728800|3.61|3.03|3.2|3.44|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|7|NASDAQ|2020|03|10|14|30|480500|3.75|3.36|3.48|3.65|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|8|NASDAQ|2020|03|09|14|30|267000|3.78|3.18|3.52|3.66|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|9|NASDAQ|2020|03|06|15|30|311500|3.98|3.7|3.81|3.85|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|10|NASDAQ|2020|03|05|15|30|215700|4.09|3.91|3.91|4.07|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|11|NASDAQ|2020|03|04|15|30|424100|4.18|3.92|4.12|3.98|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|12|NASDAQ|2020|03|03|15|30|340700|4.24|3.92|3.92|4.11|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|13|NASDAQ|2020|03|02|15|30|270200|4.36|4.09|4.11|4.15|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|14|NASDAQ|2020|02|28|15|30|422300|4.4|4.08|4.13|4.16|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|15|NASDAQ|2020|02|27|15|30|428900|4.42|4.08|4.26|4.25|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|16|NASDAQ|2020|02|26|15|30|263800|4.47|4.2|4.25|4.21|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|17|NASDAQ|2020|02|25|15|30|407300|4.58|4.23|4.26|4.32|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|18|NASDAQ|2020|02|24|15|30|351900|4.5|4.06|4.31|4.25|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|19|NASDAQ|2020|02|21|15|30|458800|4.7|4.45|4.54|4.62|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|20|NASDAQ|2020|02|20|15|30|490600|4.68|4.25|4.58|4.25|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|21|NASDAQ|2020|02|19|15|30|307400|4.44|4.11|4.23|4.39|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
VERU|22|NASDAQ|2020|02|18|15|30|427300|4.5|3.93|4.39|4.22|drugmanufacturersother|12.8|0.7|1|-|-|386|usa|0.45|0.23|42.900002|Feb 12 BMO|healthcare|13.9|211.460007
