empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
WORX|0|NASDAQ|2020|03|19|14|30|11800|1.785|1.56|1.785|1.56|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|1|NASDAQ|2020|03|18|14|30|27900|1.73|1.6|1.6|1.61|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|2|NASDAQ|2020|03|17|14|30|42100|2.243|1.55|1.56|1.8|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|3|NASDAQ|2020|03|16|14|30|31700|2.3|1.55|1.55|2.11|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|4|NASDAQ|2020|03|13|14|30|20000|2.3|2.15|2.18|2.3|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|5|NASDAQ|2020|03|12|14|30|36900|2.42|2.12|2.42|2.131|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|6|NASDAQ|2020|03|11|14|30|21500|2.34|2.22|2.295|2.22|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|7|NASDAQ|2020|03|10|14|30|69400|2.4|2.09|2.31|2.09|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|8|NASDAQ|2020|03|09|14|30|11600|2.14|2.107|2.11|2.14|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|9|NASDAQ|2020|03|06|15|30|18300|2.35|2.19|2.19|2.229|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|10|NASDAQ|2020|03|05|15|30|26200|2.45|2.28|2.37|2.45|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|11|NASDAQ|2020|03|04|15|30|48500|2.54|2.18|2.54|2.23|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|12|NASDAQ|2020|03|03|15|30|14800|2.438|2.155|2.155|2.2|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|13|NASDAQ|2020|03|02|15|30|30300|2.35|2.2|2.27|2.31|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|14|NASDAQ|2020|02|28|15|30|58400|2.56|2.16|2.51|2.334|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|15|NASDAQ|2020|02|27|15|30|35200|2.38|2.25|2.35|2.25|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|16|NASDAQ|2020|02|26|15|30|19700|2.487|2.28|2.39|2.28|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|17|NASDAQ|2020|02|25|15|30|16500|2.49|2.34|2.48|2.432|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|18|NASDAQ|2020|02|24|15|30|9200|2.52|2.37|2.48|2.37|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|19|NASDAQ|2020|02|21|15|30|24000|2.59|2.44|2.54|2.44|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
WORX|20|NASDAQ|2020|02|20|15|30|13100|2.54|2.5|2.52|2.52|internetsoftwareservices|1.7|0.8|0.8|-|-|2|usa|0|0|-|-|technology|1.4|13.61
