empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
WSFS|0|NASDAQ|2020|03|19|14|30|743900|24.65|20.209999|23.51|21.290001|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|1|NASDAQ|2020|03|18|14|30|371800|23.17|21.280001|21.469999|22.76|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|2|NASDAQ|2020|03|17|14|30|401500|24.559999|20.5|24.32|21.290001|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|3|NASDAQ|2020|03|16|14|30|381500|27.110001|20.870001|21.08|27.110001|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|4|NASDAQ|2020|03|13|14|30|422000|26.68|24.51|26.02|26.129999|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|5|NASDAQ|2020|03|12|14|30|407200|26.530001|24.370001|24.58|25.84|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|6|NASDAQ|2020|03|11|14|30|396300|30.24|27.57|27.76|29.93|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|7|NASDAQ|2020|03|10|14|30|367000|31.700001|30.059999|30.83|31.59|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|8|NASDAQ|2020|03|09|14|30|273900|31.969999|30.33|30.530001|31.719999|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
WSFS|9|NASDAQ|2020|03|06|15|30|247600|34.619999|33.02|33.950001|33.400002|regionalmidatlanticbanks|0.9|-|-|8.35|1.98|1782|usa|0.1|0.1|5.65|Apr 21 AMC|financial|86.300003|1260
