empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LMRKP|0|NASDAQ|2020|03|25|14|30|11100|20|18.5|18.5|20|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|1|NASDAQ|2020|03|24|14|30|7900|19.33|17.448|18.01|18.620001|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|2|NASDAQ|2020|03|23|14|30|25900|19.5|14.93|16.290001|19.5|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|3|NASDAQ|2020|03|20|14|30|10800|21.01|19.1|19.73|19.1|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|4|NASDAQ|2020|03|19|14|30|35700|19|9.751|19|14.21|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|5|NASDAQ|2020|03|18|14|30|15100|18.700001|14.3|15.115|17.01|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|6|NASDAQ|2020|03|17|14|30|13800|19.83|14.73|18.999001|18.030001|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|7|NASDAQ|2020|03|16|14|30|7600|22.16|16.18|19.9|16.18|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|8|NASDAQ|2020|03|13|14|30|3900|24.07|20.9|22.459999|24.07|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|9|NASDAQ|2020|03|12|14|30|23500|23.709999|22.4|22.950001|23.709999|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|10|NASDAQ|2020|03|11|14|30|6900|25.492001|23.92|24.18|25|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|11|NASDAQ|2020|03|10|14|30|2300|25.65|24.950001|25.5|25.316|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|12|NASDAQ|2020|03|09|14|30|21000|25.375|24.299999|24.910999|25.26|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
LMRKP|13|NASDAQ|2020|03|06|15|30|3800|25.988001|25.440001|25.563|25.75|propertymanagement|-|-|-|-|-|-|usa|-|-|-|-|financial|-|-
