empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LOOP|0|NASDAQ|2020|03|25|14|30|76800|7.1|6.2|6.74|6.33|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|1|NASDAQ|2020|03|24|14|30|76800|6.647|6.05|6.26|6.45|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|2|NASDAQ|2020|03|23|14|30|123800|6.765|6.43|6.43|6.75|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|3|NASDAQ|2020|03|20|14|30|37200|7.24|6.535|6.88|7.24|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|4|NASDAQ|2020|03|19|14|30|52900|7.2|6.25|7|6.7|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|5|NASDAQ|2020|03|18|14|30|79700|6.937|6.4|6.78|6.75|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|6|NASDAQ|2020|03|17|14|30|60900|7.01|6.5|6.85|6.85|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|7|NASDAQ|2020|03|16|14|30|107600|7|6.12|6.82|7|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|8|NASDAQ|2020|03|13|14|30|194400|8.28|6.5|7.55|8|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|9|NASDAQ|2020|03|12|14|30|85800|8.295|7.28|7.35|8.11|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|10|NASDAQ|2020|03|11|14|30|49200|8.63|7.77|8.54|8.63|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|11|NASDAQ|2020|03|10|14|30|235500|9.187|7.6|8.75|9.03|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|12|NASDAQ|2020|03|09|14|30|41200|9.02|8.6|8.658|8.9|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|13|NASDAQ|2020|03|06|15|30|35200|9.31|9.09|9.1|9.3|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|14|NASDAQ|2020|03|05|15|30|24700|9.56|9.19|9.31|9.24|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|15|NASDAQ|2020|03|04|15|30|48900|9.49|9.055|9.47|9.08|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|16|NASDAQ|2020|03|03|15|30|46900|9.4|8.602|8.88|9.4|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|17|NASDAQ|2020|03|02|15|30|34400|9.39|8.98|9.26|8.98|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|18|NASDAQ|2020|02|28|15|30|117600|9.5|8.664|8.78|9.5|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|19|NASDAQ|2020|02|27|15|30|91200|10.128|9.5|9.5|10.05|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|20|NASDAQ|2020|02|26|15|30|26400|10.19|9.94|10.18|10.02|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|21|NASDAQ|2020|02|25|15|30|51400|10.261|9.9|10.08|10.22|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|22|NASDAQ|2020|02|24|15|30|54000|10.42|9.96|10.29|10.06|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|23|NASDAQ|2020|02|21|15|30|81600|11.75|10.34|10.37|11.41|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|24|NASDAQ|2020|02|20|15|30|174900|11.99|10.01|11.41|10.15|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|25|NASDAQ|2020|02|19|15|30|167000|10.2|9.96|10.01|10.05|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|26|NASDAQ|2020|02|18|15|30|76300|10.68|10|10.13|10.44|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|27|NASDAQ|2020|02|14|15|30|82900|10.6|10.13|10.38|10.5|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|28|NASDAQ|2020|02|13|15|30|24700|10.5|10.17|10.5|10.45|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|29|NASDAQ|2020|02|12|15|30|21700|10.52|10.281|10.41|10.39|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|30|NASDAQ|2020|02|11|15|30|23600|10.38|10.05|10.38|10.18|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|31|NASDAQ|2020|02|10|15|30|30800|10.1|9.91|10.1|10.05|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|32|NASDAQ|2020|02|07|15|30|37400|10.069|9.85|9.96|10.06|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|33|NASDAQ|2020|02|06|15|30|103300|10.66|9.955|10.07|10.21|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|34|NASDAQ|2020|02|05|15|30|74700|10.81|10.03|10.22|10.81|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|35|NASDAQ|2020|02|04|15|30|32300|10.7|10.252|10.7|10.48|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|36|NASDAQ|2020|02|03|15|30|16500|10.45|10.05|10.2|10.05|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|37|NASDAQ|2020|01|31|15|30|17700|10.08|9.84|10.06|10.01|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|38|NASDAQ|2020|01|30|15|30|14800|10.15|9.9|10|10.12|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|39|NASDAQ|2020|01|29|15|30|28100|10.243|9.95|10.14|10.05|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|40|NASDAQ|2020|01|28|15|30|11500|10.2|10|10.17|10.07|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|41|NASDAQ|2020|01|27|15|30|33900|10.22|9.92|10.01|10|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|42|NASDAQ|2020|01|24|15|30|33000|10.21|9.75|10.21|9.78|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|43|NASDAQ|2020|01|23|15|30|76600|10.12|9.63|9.67|10.03|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|44|NASDAQ|2020|01|22|15|30|37400|10.3|9.93|10.12|10.23|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|45|NASDAQ|2020|01|21|15|30|46600|10.39|10|10.17|10.13|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|46|NASDAQ|2020|01|17|15|30|38000|10.19|9.9|10.19|9.98|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|47|NASDAQ|2020|01|16|15|30|34300|10.4|9.9|9.91|9.96|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|48|NASDAQ|2020|01|15|15|30|52100|10.415|9.945|9.96|10.2|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|49|NASDAQ|2020|01|14|15|30|45600|10.46|10.21|10.23|10.3|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|50|NASDAQ|2020|01|13|15|30|53000|10.47|9.97|10.27|9.97|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|51|NASDAQ|2020|01|10|15|30|132700|10.315|9.82|9.93|10.21|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|52|NASDAQ|2020|01|09|15|30|79400|11.239|10.26|10.61|10.8|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|53|NASDAQ|2020|01|08|15|30|72000|11.39|10.742|10.76|10.99|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|54|NASDAQ|2020|01|07|15|30|89300|11.08|10.5|11|10.5|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|55|NASDAQ|2020|01|06|15|30|54400|10.71|10.06|10.6|10.06|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|56|NASDAQ|2020|01|03|15|30|43800|10.6|10.02|10.16|10.26|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|57|NASDAQ|2020|01|02|15|30|135800|10.39|10|10.2|10.08|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|58|NASDAQ|2019|12|31|15|30|107500|10.57|9.895|9.9|10.12|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|59|NASDAQ|2019|12|30|15|30|66800|10.963|9.95|10.05|10.39|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|60|NASDAQ|2019|12|27|15|30|36900|11.384|10.3|10.3|10.62|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|61|NASDAQ|2019|12|26|15|30|20200|11.02|10.52|10.65|10.85|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|62|NASDAQ|2019|12|24|15|30|23500|11.6|10.99|10.99|11.05|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|63|NASDAQ|2019|12|23|15|30|28400|11.72|11.07|11.18|11.65|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|64|NASDAQ|2019|12|20|15|30|53600|11.738|11.14|11.56|11.34|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|65|NASDAQ|2019|12|19|15|30|44600|11.53|11.08|11.43|11.37|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|66|NASDAQ|2019|12|18|15|30|48400|11.52|11.07|11.37|11.2|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|67|NASDAQ|2019|12|17|15|30|59200|11.91|11.03|11.12|11.91|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|68|NASDAQ|2019|12|16|15|30|161300|12.42|11.17|11.72|11.43|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|69|NASDAQ|2019|12|13|15|30|28900|11.49|11|11.22|11.28|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|70|NASDAQ|2019|12|12|15|30|42300|11.45|10.66|11.3|10.7|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
LOOP|71|NASDAQ|2019|12|11|15|30|77200|10.92|10.31|10.86|10.65|specialtychemicals|10.2|5.5|5.5|-|-|34|usa|0.16|0.02|-5.4|Apr 09 AMC|basicmaterials|9.8|271.320007
