empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LQDT|0|NASDAQ|2020|03|25|14|30|202700|3.84|3.73|3.84|3.84|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|1|NASDAQ|2020|03|24|14|30|192400|4.18|3.51|3.84|3.96|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|2|NASDAQ|2020|03|23|14|30|150600|4.13|3.36|3.8|4.13|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|3|NASDAQ|2020|03|20|14|30|190900|4.18|3.86|3.95|4.13|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|4|NASDAQ|2020|03|19|14|30|200900|4.17|3.58|4.16|3.66|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|5|NASDAQ|2020|03|18|14|30|129600|3.99|3.56|3.65|3.87|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|6|NASDAQ|2020|03|17|14|30|195500|4.03|3.51|4.03|3.74|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|7|NASDAQ|2020|03|16|14|30|272900|3.98|3.67|3.69|3.8|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|8|NASDAQ|2020|03|13|14|30|240900|4.17|3.88|4|3.95|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|9|NASDAQ|2020|03|12|14|30|250300|4.2|3.91|3.95|3.95|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|10|NASDAQ|2020|03|11|14|30|121700|4.35|4.01|4.25|4.03|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|11|NASDAQ|2020|03|10|14|30|159700|4.18|3.96|4.11|4.07|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|12|NASDAQ|2020|03|09|14|30|151000|4.12|3.92|3.95|4|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|13|NASDAQ|2020|03|06|15|30|133000|4.27|4.1|4.2|4.1|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|14|NASDAQ|2020|03|05|15|30|270400|4.25|4.12|4.25|4.15|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|15|NASDAQ|2020|03|04|15|30|273000|4.24|4.01|4.11|4.16|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|16|NASDAQ|2020|03|03|15|30|173900|4.19|3.94|4.1|4.13|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|17|NASDAQ|2020|03|02|15|30|132100|4.13|3.93|4.1|3.93|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|18|NASDAQ|2020|02|28|15|30|170000|4.03|3.9|3.92|3.9|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|19|NASDAQ|2020|02|27|15|30|114300|4.21|4.01|4.08|4.19|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
LQDT|20|NASDAQ|2020|02|26|15|30|122600|4.36|4.16|4.28|4.16|catalogmailorderhouses|1.9|1.1|1.2|-|-|578|usa|0|0|90.599998|Feb 06 BMO|services|70.699997|91.279999
