empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
LSTR|0|NASDAQ|2020|03|25|14|30|585600|99|91.449997|95.260002|93.099998|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|1|NASDAQ|2020|03|24|14|30|626900|94.330002|89|93.050003|90.25|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|2|NASDAQ|2020|03|23|14|30|480200|93.93|85.300003|86.769997|91.389999|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|3|NASDAQ|2020|03|20|14|30|853600|97.519997|89.809998|92.730003|91.199997|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|4|NASDAQ|2020|03|19|14|30|531900|100.110001|89.93|90.650002|95.120003|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|5|NASDAQ|2020|03|18|14|30|604300|102.080002|90.379997|95.860001|97.540001|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|6|NASDAQ|2020|03|17|14|30|610400|103.639999|88.459999|102.940002|90.199997|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|7|NASDAQ|2020|03|16|14|30|763900|94.209999|88.629997|88.739998|90.330002|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|8|NASDAQ|2020|03|13|14|30|648000|99.129997|92.190002|99.040001|93.459999|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|9|NASDAQ|2020|03|12|14|30|781400|95.07|88.330002|90.540001|90.199997|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|10|NASDAQ|2020|03|11|14|30|355100|97.290001|94.739998|95.900002|95.279999|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|11|NASDAQ|2020|03|10|14|30|539200|97.989998|94.540001|97.940002|95.540001|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|12|NASDAQ|2020|03|09|14|30|492700|97.580002|93.339996|93.529999|95.769997|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|13|NASDAQ|2020|03|06|15|30|446900|101.5|96.760002|101.339996|97.370003|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|14|NASDAQ|2020|03|05|15|30|300500|104.970001|99.849998|100.230003|102.809998|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|15|NASDAQ|2020|03|04|15|30|375000|105.459999|101.68|105.379997|103.730003|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|16|NASDAQ|2020|03|03|15|30|424300|106.089996|101.919998|102.25|104.889999|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|17|NASDAQ|2020|03|02|15|30|447000|105.230003|100.18|105.099998|101.540001|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|18|NASDAQ|2020|02|28|15|30|753000|102.57|99.349998|100.970001|100.709999|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|19|NASDAQ|2020|02|27|15|30|574400|105.589996|98.699997|103.459999|99.029999|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|20|NASDAQ|2020|02|26|15|30|355200|105.230003|101.440002|101.580002|104.809998|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
LSTR|21|NASDAQ|2020|02|25|15|30|418000|108.550003|104.459999|104.540001|108.470001|trucking|0.8|1.8|1.8|16.190001|0.8|1333|usa|0.23|0.1|12.65|Apr 29 AMC|services|-|3869.999756
