empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MGIC|0|NASDAQ|2020|03|25|14|30|57200|7.78|7.38|7.58|7.47|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|1|NASDAQ|2020|03|24|14|30|28500|7.53|7.19|7.37|7.34|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|2|NASDAQ|2020|03|23|14|30|51300|7.24|6.56|6.86|6.65|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|3|NASDAQ|2020|03|20|14|30|39100|7.35|6.76|6.87|7.3|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|4|NASDAQ|2020|03|19|14|30|67100|7.46|6.38|7.25|6.49|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|5|NASDAQ|2020|03|18|14|30|102600|6.88|6.31|6.4|6.67|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|6|NASDAQ|2020|03|17|14|30|98100|7.26|6.5|7.1|6.95|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|7|NASDAQ|2020|03|16|14|30|78800|7.47|6.9|6.95|7|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|8|NASDAQ|2020|03|13|14|30|81600|7.53|7.15|7.51|7.15|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
MGIC|9|NASDAQ|2020|03|12|14|30|77900|7.58|7|7.19|7.38|applicationsoftware|58.099998|3.1|3.1|18.91|3.96|2000|israel|0.09|0.06|13.74|Mar 09|technology|21.299999|338.179993
