empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MKTX|0|NASDAQ|2020|03|25|14|30|366800|349.950012|323.570007|330.309998|323.570007|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|1|NASDAQ|2020|03|24|14|30|543300|334.519989|283.01001|326.720001|293.790009|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|2|NASDAQ|2020|03|23|14|30|535200|310|275.5|281.309998|309.910004|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|3|NASDAQ|2020|03|20|14|30|441800|326.109985|298.730011|310.630005|310.609985|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|4|NASDAQ|2020|03|19|14|30|334700|323.290009|288.01001|316.130005|303.559998|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|5|NASDAQ|2020|03|18|14|30|493200|321.869995|290.130005|305.359985|300|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|6|NASDAQ|2020|03|17|14|30|482300|352.709991|317.910004|333|318.040009|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|7|NASDAQ|2020|03|16|14|30|446700|333.019989|286.970001|311.290009|317.350006|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|8|NASDAQ|2020|03|13|14|30|560700|346.609985|318|343.070007|320.589996|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|9|NASDAQ|2020|03|12|14|30|498300|334.149994|307.320007|314.730011|318.670013|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|10|NASDAQ|2020|03|11|14|30|333500|357.869995|329.339996|333.649994|356.170013|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|11|NASDAQ|2020|03|10|14|30|399900|367.299988|345.690002|357.160004|356.309998|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|12|NASDAQ|2020|03|09|14|30|407600|366.149994|342.850006|352.309998|342.850006|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|13|NASDAQ|2020|03|06|15|30|401800|372.890015|348.519989|362.359985|368.910004|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|14|NASDAQ|2020|03|05|15|30|489100|388.730011|366.619995|377.529999|367.399994|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|15|NASDAQ|2020|03|04|15|30|430900|375.429993|351.160004|373.559998|356.170013|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|16|NASDAQ|2020|03|03|15|30|478800|365.820007|337.970001|351.579987|346.899994|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|17|NASDAQ|2020|03|02|15|30|386200|349.929993|321.299988|348.619995|324.920013|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|18|NASDAQ|2020|02|28|15|30|532900|336.670013|314.01001|324.329987|329.670013|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|19|NASDAQ|2020|02|27|15|30|408400|341.519989|332.190002|333.339996|332.660004|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|20|NASDAQ|2020|02|26|15|30|307900|342.119995|330.660004|338.279999|332.070007|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|21|NASDAQ|2020|02|25|15|30|283700|345.859985|328.630005|331.200012|342.73999|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|22|NASDAQ|2020|02|24|15|30|286100|346.019989|332.220001|341.910004|333.429993|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|23|NASDAQ|2020|02|21|15|30|342300|346.48999|337.399994|340.089996|342.829987|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|24|NASDAQ|2020|02|20|15|30|336500|347.869995|336.109985|344.600006|341.450012|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
MKTX|25|NASDAQ|2020|02|19|15|30|265700|349.079987|341.429993|341.679993|348.160004|investmentbrokeragenational|3.1|-|-|63.490002|0.7|527|usa|0|0|11.98|Apr 29 BMO|financial|98.199997|12500
