empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MOGO|0|NASDAQ|2020|03|25|14|30|39800|0.85|0.57|0.81|0.675|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|1|NASDAQ|2020|03|24|14|30|22700|0.768|0.612|0.612|0.7|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|2|NASDAQ|2020|03|23|14|30|18800|0.87|0.555|0.56|0.8|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|3|NASDAQ|2020|03|20|14|30|30500|0.975|0.79|0.796|0.975|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|4|NASDAQ|2020|03|19|14|30|130700|1.19|0.726|0.79|1.19|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|5|NASDAQ|2020|03|18|14|30|5400|1.209|1.01|1.08|1.209|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|6|NASDAQ|2020|03|17|14|30|31900|1.58|1.2|1.26|1.5|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|7|NASDAQ|2020|03|16|14|30|28000|1.52|1.09|1.43|1.29|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|8|NASDAQ|2020|03|13|14|30|13800|1.555|1.32|1.35|1.496|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|9|NASDAQ|2020|03|12|14|30|33300|1.715|1.26|1.39|1.47|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|10|NASDAQ|2020|03|11|14|30|800|1.74|1.717|1.717|1.74|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|11|NASDAQ|2020|03|10|14|30|89600|1.98|1.58|1.88|1.98|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|12|NASDAQ|2020|03|09|14|30|36500|2|1.81|1.98|1.98|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|13|NASDAQ|2020|03|06|15|30|6400|2.027|1.81|1.89|2.027|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
MOGO|14|NASDAQ|2020|03|05|15|30|56200|2.19|1.951|1.98|2.11|creditservices|30.030001|-|-|-|-|278|canada|-|-|-|Mar 27 BMO|financial|6.29|24.809999
