empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
MTSI|0|NASDAQ|2020|03|25|14|30|583400|19.360001|17.49|18.299999|18.5|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|1|NASDAQ|2020|03|24|14|30|858200|18.68|17.07|18.5|17.6|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|2|NASDAQ|2020|03|23|14|30|703100|17.280001|15.03|16.43|16.610001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|3|NASDAQ|2020|03|20|14|30|674600|18.34|15.89|16.129999|17.43|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|4|NASDAQ|2020|03|19|14|30|522000|17.870001|15.93|17.040001|16.610001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|5|NASDAQ|2020|03|18|14|30|912700|17.48|15.43|16.610001|16.790001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|6|NASDAQ|2020|03|17|14|30|893700|18.77|16.549999|18.43|17.559999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|7|NASDAQ|2020|03|16|14|30|1075900|17.6|15.53|17.1|17.24|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|8|NASDAQ|2020|03|13|14|30|780200|19.83|17.51|19.700001|19.629999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|9|NASDAQ|2020|03|12|14|30|843900|19.6|17|18.34|18.940001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|10|NASDAQ|2020|03|11|14|30|661400|22.02|20.469999|20.82|21.34|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|11|NASDAQ|2020|03|10|14|30|721000|22.370001|20.42|22.34|21.799999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|12|NASDAQ|2020|03|09|14|30|642000|22.35|20.290001|20.59|21.940001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|13|NASDAQ|2020|03|06|15|30|614800|24.280001|22.24|24.01|24|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|14|NASDAQ|2020|03|05|15|30|434900|25.9|24.85|25.110001|25.059999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|15|NASDAQ|2020|03|04|15|30|329200|26.17|25.200001|25.950001|26.110001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|16|NASDAQ|2020|03|03|15|30|309100|27.200001|25.030001|25.370001|26.6|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|17|NASDAQ|2020|03|02|15|30|413400|26.65|24.74|26.57|25.58|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|18|NASDAQ|2020|02|28|15|30|967900|25.370001|22.77|25.27|22.879999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|19|NASDAQ|2020|02|27|15|30|754100|25.530001|24.09|24.139999|25.309999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|20|NASDAQ|2020|02|26|15|30|272400|27.059999|25.969999|26.24|26.65|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|21|NASDAQ|2020|02|25|15|30|434500|28.27|26.6|26.73|28.200001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|22|NASDAQ|2020|02|24|15|30|343500|28.780001|27.780001|28.01|28.299999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|23|NASDAQ|2020|02|21|15|30|534600|30.85|29.5|29.809999|30.85|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|24|NASDAQ|2020|02|20|15|30|504000|31.07|29.58|31.059999|30.27|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|25|NASDAQ|2020|02|19|15|30|575900|30.83|29.200001|30.52|29.25|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|26|NASDAQ|2020|02|18|15|30|472900|29.370001|28.780001|29.200001|29.120001|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|27|NASDAQ|2020|02|14|15|30|323900|29.83|29.16|29.629999|29.719999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|28|NASDAQ|2020|02|13|15|30|338300|29.959999|29.459999|29.74|29.459999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|29|NASDAQ|2020|02|12|15|30|381900|30.52|29.52|29.75|30.049999|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|30|NASDAQ|2020|02|11|15|30|341800|30.190001|29.33|29.68|29.5|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|31|NASDAQ|2020|02|10|15|30|263400|29.139999|28.27|29.09|28.6|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|32|NASDAQ|2020|02|07|15|30|365400|30.370001|28.549999|28.690001|30.02|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|33|NASDAQ|2020|02|06|15|30|317700|31.68|30.360001|30.450001|31.66|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|34|NASDAQ|2020|02|05|15|30|431100|31.860001|30.620001|31.4|31.66|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|35|NASDAQ|2020|02|04|15|30|523700|31.030001|29|30.969999|29.42|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
MTSI|36|NASDAQ|2020|02|03|15|30|497000|28.879999|28.16|28.809999|28.48|semiconductorbroadline|1|3.2|4.3|-|-|1100|usa|2.36|2.33|71.309998|Apr 28 AMC|technology|79.099998|1170
