empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NKSH|0|NASDAQ|2020|03|25|14|30|15800|35.009998|29.780001|31.07|35.009998|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|1|NASDAQ|2020|03|24|14|30|18300|35.349998|30.059999|35.34|30.950001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|2|NASDAQ|2020|03|23|14|30|16500|34.599998|28|30.059999|31.450001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|3|NASDAQ|2020|03|20|14|30|46400|40|30.58|30.58|39.419998|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|4|NASDAQ|2020|03|19|14|30|28200|44.990002|34.900002|39.810001|35.290001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|5|NASDAQ|2020|03|18|14|30|27000|37.919998|34.599998|34.599998|37.919998|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|6|NASDAQ|2020|03|17|14|30|17600|40.91|32|40.810001|33.189999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|7|NASDAQ|2020|03|16|14|30|40500|32.799999|29.17|31.66|29.17|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|8|NASDAQ|2020|03|13|14|30|21800|32.5|28.98|32.5|29.389999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|9|NASDAQ|2020|03|12|14|30|21000|29.950001|28.33|28.4|29.950001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|10|NASDAQ|2020|03|11|14|30|19500|32.029999|30|30|31.049999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|11|NASDAQ|2020|03|10|14|30|25500|32.990002|27.91|32.09|32.990002|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|12|NASDAQ|2020|03|09|14|30|14400|33.59|31.73|32.400002|32|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|13|NASDAQ|2020|03|06|15|30|14900|35.580002|33.52|34.369999|33.52|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|14|NASDAQ|2020|03|05|15|30|26400|36.57|33.52|34.220001|35.419998|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|15|NASDAQ|2020|03|04|15|30|17300|37.669998|34.75|37.25|35.029999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|16|NASDAQ|2020|03|03|15|30|15600|37.150002|34.759998|34.990002|35.650002|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|17|NASDAQ|2020|03|02|15|30|13300|36.529999|34.75|35.799999|35.080002|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|18|NASDAQ|2020|02|28|15|30|22900|36.400002|34.5|34.950001|35.529999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|19|NASDAQ|2020|02|27|15|30|14300|38.009998|36|36|37.099998|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|20|NASDAQ|2020|02|26|15|30|12200|38.849998|36.57|37.59|38.68|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|21|NASDAQ|2020|02|25|15|30|11100|40.549999|38.099998|38.099998|40.5|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|22|NASDAQ|2020|02|24|15|30|4800|40.450001|39.799999|39.939999|40.009998|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|23|NASDAQ|2020|02|21|15|30|4700|40.59|40.029999|40.029999|40.27|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|24|NASDAQ|2020|02|20|15|30|5300|40.48|39.5|40.130001|39.950001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|25|NASDAQ|2020|02|19|15|30|13300|41.07|39.68|40.380001|40.09|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|26|NASDAQ|2020|02|18|15|30|2300|41.68|39.799999|39.799999|40.740002|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|27|NASDAQ|2020|02|14|15|30|3800|40.68|39.98|40.369999|40.07|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|28|NASDAQ|2020|02|13|15|30|1700|40.389999|40.200001|40.389999|40.27|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|29|NASDAQ|2020|02|12|15|30|8700|40.529999|39.82|39.82|40.299999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|30|NASDAQ|2020|02|11|15|30|11000|41.02|39.73|39.759998|40.299999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|31|NASDAQ|2020|02|10|15|30|5600|40.380001|39|40.380001|40.07|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|32|NASDAQ|2020|02|07|15|30|1600|40.16|40.060001|40.16|40.060001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|33|NASDAQ|2020|02|06|15|30|10200|40.849998|39.889999|40.25|40.439999|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|34|NASDAQ|2020|02|05|15|30|5900|41.5|39.93|40.41|41.360001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
NKSH|35|NASDAQ|2020|02|04|15|30|12000|41|39.91|40.669998|39.970001|regionalmidatlanticbanks|1|-|-|11.4|4.76|238|usa|0|0|-3.38|Apr 02 AMC|financial|32.400002|196.289993
