empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NKTR|0|NASDAQ|2020|03|25|14|30|1444200|17.65|16.450001|16.93|16.879999|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|1|NASDAQ|2020|03|24|14|30|1644100|17.49|16.08|16.860001|16.9|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|2|NASDAQ|2020|03|23|14|30|1948300|16.83|15.78|16.07|16.450001|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|3|NASDAQ|2020|03|20|14|30|2144100|17.67|15.82|16.27|17.42|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|4|NASDAQ|2020|03|19|14|30|2015900|18.940001|15.9|17.209999|16.040001|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|5|NASDAQ|2020|03|18|14|30|1963700|16.309999|14.54|16.309999|15|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|6|NASDAQ|2020|03|17|14|30|2350000|16.49|14.26|15.9|14.66|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|7|NASDAQ|2020|03|16|14|30|2130700|15.56|13.63|14.47|14|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|8|NASDAQ|2020|03|13|14|30|1938100|17.23|14.95|16.6|16.91|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
NKTR|9|NASDAQ|2020|03|12|14|30|2046700|16.299999|14.1|16.110001|14.67|biotechnology|1.2|4|4|-|-|723|usa|0.18|0|12.4|Feb 27 AMC|healthcare|96.18|3029.999756
