empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
NSTG|0|NASDAQ|2020|03|25|14|30|573000|25.48|20.860001|25.219999|21.6|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|1|NASDAQ|2020|03|24|14|30|627800|21.950001|18.68|21.620001|19.290001|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|2|NASDAQ|2020|03|23|14|30|629000|19.120001|17.280001|18.629999|18.02|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|3|NASDAQ|2020|03|20|14|30|994900|20.200001|17.389999|17.860001|19.389999|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|4|NASDAQ|2020|03|19|14|30|850600|19.57|15.78|19.059999|16.08|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|5|NASDAQ|2020|03|18|14|30|840600|19.93|13.85|16.01|18.91|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|6|NASDAQ|2020|03|17|14|30|798300|20.34|18|19.719999|20.01|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|7|NASDAQ|2020|03|16|14|30|733200|26.99|19.1|19.530001|26.99|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|8|NASDAQ|2020|03|13|14|30|1026000|29.620001|25.290001|29.58|28.049999|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|9|NASDAQ|2020|03|12|14|30|710600|29.34|26.1|26.33|28.290001|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|10|NASDAQ|2020|03|11|14|30|1377300|32.860001|29.620001|30.5|32.860001|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|11|NASDAQ|2020|03|10|14|30|889500|33.450001|30.68|33.23|31.67|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|12|NASDAQ|2020|03|09|14|30|976800|34.82|29.92|31.389999|34.080002|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|13|NASDAQ|2020|03|06|15|30|791500|36.43|33.27|36.040001|33.830002|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|14|NASDAQ|2020|03|05|15|30|2221600|34.599998|33.610001|34.450001|33.75|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
NSTG|15|NASDAQ|2020|03|04|15|30|3178800|34.52|32.369999|34.150002|33.400002|biotechnology|0.7|4.3|4.7|-|-|551|usa|0.77|0.77|14.5|Feb 26 AMC|healthcare|-|738.77002
