empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
PTSI|0|NASDAQ|2020|01|29|15|30|1500|55.02|54.25|54.360001|54.25|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|1|NASDAQ|2020|01|28|15|30|4200|56.459999|53.040001|54.68|54.720001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|2|NASDAQ|2020|01|27|15|30|3400|56.099998|53.630001|53.630001|54.740002|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|3|NASDAQ|2020|01|24|15|30|1800|55.490002|55.380001|55.439999|55.380001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|4|NASDAQ|2020|01|23|15|30|1200|56.799999|56.349998|56.349998|56.560001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|5|NASDAQ|2020|01|22|15|30|1300|56.84|56.75|56.84|56.799999|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|6|NASDAQ|2020|01|21|15|30|4100|57.189999|56.150002|56.630001|57.189999|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|7|NASDAQ|2020|01|17|15|30|1800|58.369999|57.349998|57.349998|58.369999|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|8|NASDAQ|2020|01|16|15|30|5900|58.619999|57.130001|57.990002|57.130001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|9|NASDAQ|2020|01|15|15|30|6400|58.369999|56.349998|57.400002|57.740002|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|10|NASDAQ|2020|01|14|15|30|6200|58.080002|56.299999|57.099998|57.509998|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|11|NASDAQ|2020|01|13|15|30|7000|57.490002|56.009998|57.299999|56.009998|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|12|NASDAQ|2020|01|10|15|30|4400|56.91|56.099998|56.549999|56.099998|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|13|NASDAQ|2020|01|09|15|30|4000|56.799999|55.700001|56.439999|55.700001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|14|NASDAQ|2020|01|08|15|30|6600|55.959999|54.48|55.959999|55.810001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|15|NASDAQ|2020|01|07|15|30|3000|56.25|55.299999|55.470001|56.049999|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|16|NASDAQ|2020|01|06|15|30|9800|57.389999|55.669998|56.25|56.849998|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|17|NASDAQ|2020|01|03|15|30|7000|57.299999|56.150002|56.450001|57.16|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|18|NASDAQ|2020|01|02|15|30|9400|58.529999|56.400002|57.389999|57.240002|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|19|NASDAQ|2019|12|31|15|30|14800|57.709999|55.470001|57.709999|55.740002|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|20|NASDAQ|2019|12|30|15|30|12300|57.27|55.799999|56.139999|56.200001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|21|NASDAQ|2019|12|27|15|30|9000|57.75|56.5|57.060001|57.450001|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
PTSI|22|NASDAQ|2019|12|26|15|30|10200|57.5|55.549999|57.299999|55.939999|trucking|1.2|0.9|0.9|11.51|-|2748|usa|1.56|1.14|2.65|Feb 12|services|26.799999|312.980011
