empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
QLC|73|NASDAQ|2019|10|14|15|30|7531|33.970001|33.91|33.91|33.950001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|74|NASDAQ|2019|10|11|15|30|12750|34.213799|33.915001|33.995701|33.915001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|75|NASDAQ|2019|10|10|15|30|294|33.540001|33.5098|33.537701|33.540001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|76|NASDAQ|2019|10|09|15|30|2258|33.34|33.23|33.279999|33.23|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|77|NASDAQ|2019|10|08|15|30|7200|33.34|32.91|32.91|33.169998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|78|NASDAQ|2019|10|07|15|30|1700|33.710999|33.599998|33.646|33.599998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|79|NASDAQ|2019|10|04|15|30|2500|33.449001|33.34|33.380001|33.439999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|80|NASDAQ|2019|10|03|15|30|2800|33.195|32.773998|33.195|32.773998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|81|NASDAQ|2019|10|02|15|30|3400|33.380001|32.900002|33|33.380001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|82|NASDAQ|2019|10|01|15|30|4000|33.923|33.576|33.668999|33.923|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|83|NASDAQ|2019|09|30|15|30|55400|34.060001|33.939999|34.009998|33.939999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|84|NASDAQ|2019|09|27|15|30|4100|33.959999|33.624001|33.624001|33.939999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|85|NASDAQ|2019|09|26|15|30|9200|33.98|33.849998|33.91|33.950001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|86|NASDAQ|2019|09|25|15|30|10700|34.060001|33.75|34.060001|33.779999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|87|NASDAQ|2019|09|24|15|30|1900|34.183998|33.869999|33.869999|34.183998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|88|NASDAQ|2019|09|23|15|30|2800|34.279999|34.130001|34.189999|34.130001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|89|NASDAQ|2019|09|20|15|30|1400|34.435001|34.259998|34.259998|34.435001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|90|NASDAQ|2019|09|19|15|30|11100|34.549999|34.439999|34.439999|34.549999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|91|NASDAQ|2019|09|18|15|30|4900|34.490002|34.290001|34.470001|34.419998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|92|NASDAQ|2019|09|17|15|30|1900|34.509998|34.389999|34.459999|34.509998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|93|NASDAQ|2019|09|16|15|30|1300|34.459999|34.389999|34.459999|34.419998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|94|NASDAQ|2019|09|13|15|30|3900|34.536999|34.441002|34.490002|34.518002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|95|NASDAQ|2019|09|12|15|30|4000|34.59|34.459999|34.490002|34.459999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|96|NASDAQ|2019|09|11|15|30|1300|34.387001|34.279999|34.387001|34.279999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|97|NASDAQ|2019|09|10|15|30|1400|34.106998|34.098|34.098|34.106998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|98|NASDAQ|2019|09|09|15|30|4800|34.099998|34.009998|34.040001|34.099998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
QLC|99|NASDAQ|2019|09|06|15|30|7700|34.009998|33.93|34|34.005001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
