empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
REDU|0|NASDAQ|2020|03|25|14|30|45400|4.79|3.9|4.45|4.31|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|1|NASDAQ|2020|03|24|14|30|86100|4.34|3.72|4.15|3.79|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|2|NASDAQ|2020|03|23|14|30|29500|3.91|3.5|3.73|3.79|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|3|NASDAQ|2020|03|20|14|30|46100|3.92|3.51|3.65|3.72|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|4|NASDAQ|2020|03|19|14|30|35600|4.06|3.26|3.5|3.26|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|5|NASDAQ|2020|03|18|14|30|68800|4|3.01|3.1|4|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|6|NASDAQ|2020|03|17|14|30|40100|4|3.69|4|3.99|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|7|NASDAQ|2020|03|16|14|30|112500|4.06|3.77|3.8|4.06|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|8|NASDAQ|2020|03|13|14|30|15900|4.7|4.01|4.01|4.2|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|9|NASDAQ|2020|03|12|14|30|45600|4.13|4|4.08|4.1|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|10|NASDAQ|2020|03|11|14|30|5100|4.7|4.46|4.52|4.69|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|11|NASDAQ|2020|03|10|14|30|36400|4.79|4.51|4.7|4.62|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|12|NASDAQ|2020|03|09|14|30|45200|4.7|4.01|4.69|4.07|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|13|NASDAQ|2020|03|06|15|30|41800|5.15|4.55|4.7|5.147|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|14|NASDAQ|2020|03|05|15|30|15500|5.53|5.24|5.3|5.53|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|15|NASDAQ|2020|03|04|15|30|4700|5.63|5.4|5.4|5.63|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|16|NASDAQ|2020|03|03|15|30|9800|5.55|5.4|5.44|5.499|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|17|NASDAQ|2020|03|02|15|30|4300|5.6|5.5|5.52|5.5|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
REDU|18|NASDAQ|2020|02|28|15|30|151200|5.75|5.5|5.54|5.7|educationtrainingservices|6.82|0.9|0.9|13.32|-|3512|china|0.83|0.61|148.399994|Mar 12 AMC|services|74.699997|246.960007
