empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
RETA|0|NASDAQ|2020|03|25|14|30|386600|150.559998|137.559998|139.059998|139.429993|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|1|NASDAQ|2020|03|24|14|30|568200|148.979996|129.279999|138.5|136.100006|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|2|NASDAQ|2020|03|23|14|30|410600|132.809998|113.010002|129.25|119.959999|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|3|NASDAQ|2020|03|20|14|30|442100|144.990005|120.004997|124.160004|139.529999|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|4|NASDAQ|2020|03|19|14|30|388900|140|121.457001|139.259995|125|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|5|NASDAQ|2020|03|18|14|30|512900|136.542007|120.254997|126.709999|126.559998|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|6|NASDAQ|2020|03|17|14|30|592600|146.979996|122.129997|135.119995|133.100006|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|7|NASDAQ|2020|03|16|14|30|819500|150|128.050003|130.009995|150|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|8|NASDAQ|2020|03|13|14|30|488200|168.110001|144.009995|167.789993|154.020004|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|9|NASDAQ|2020|03|12|14|30|558000|149.929993|135.380005|147.199997|146.679993|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|10|NASDAQ|2020|03|11|14|30|733800|176.979996|153.979996|157.860001|170.199997|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|11|NASDAQ|2020|03|10|14|30|507600|179.255997|167.576996|175.309998|176.300003|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|12|NASDAQ|2020|03|09|14|30|454600|182.929993|166.699997|171.029999|171.199997|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|13|NASDAQ|2020|03|06|15|30|416400|195.089996|175.716003|183.110001|191.470001|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|14|NASDAQ|2020|03|05|15|30|290500|208.860001|196.994995|200|200.009995|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|15|NASDAQ|2020|03|04|15|30|331300|206.110001|193.949997|204.539993|197.690002|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|16|NASDAQ|2020|03|03|15|30|278600|209.910004|190.399994|192.929993|208|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|17|NASDAQ|2020|03|02|15|30|294800|207.949997|193.440002|207.940002|194.320007|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|18|NASDAQ|2020|02|28|15|30|407600|195.785004|181.087997|194.75|181.720001|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|19|NASDAQ|2020|02|27|15|30|403900|199.289993|187.119995|188.679993|194|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|20|NASDAQ|2020|02|26|15|30|350100|204.130005|195.274994|198.589996|196.419998|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|21|NASDAQ|2020|02|25|15|30|392600|201.410004|195|196.199997|197.960007|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|22|NASDAQ|2020|02|24|15|30|382900|203.550003|195.940002|196.229996|198.940002|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|23|NASDAQ|2020|02|21|15|30|473000|223.360001|206.796005|211.139999|223.360001|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|24|NASDAQ|2020|02|20|15|30|583900|229.910004|217.520004|223.75|220|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|25|NASDAQ|2020|02|19|15|30|318800|228.009995|220.350006|224.029999|228.009995|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|26|NASDAQ|2020|02|18|15|30|345700|228.240005|220.020004|228.139999|224.759995|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|27|NASDAQ|2020|02|14|15|30|180700|232.399994|223.850006|225.649994|232.339996|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|28|NASDAQ|2020|02|13|15|30|306400|233.429993|220|230.020004|220.240005|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|29|NASDAQ|2020|02|12|15|30|294100|234.820007|226.194|226.630005|234.820007|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|30|NASDAQ|2020|02|11|15|30|247200|238.619003|230.910004|233.279999|235.839996|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|31|NASDAQ|2020|02|10|15|30|310100|235.210007|223.815002|233.919998|224.619995|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|32|NASDAQ|2020|02|07|15|30|329600|224.690002|217.860001|224.389999|222.339996|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|33|NASDAQ|2020|02|06|15|30|373800|229.934998|215.559998|224.300003|228.539993|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|34|NASDAQ|2020|02|05|15|30|943500|257.964996|224.5|228.580002|247.550003|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|35|NASDAQ|2020|02|04|15|30|707000|248.289993|235.565002|247.740005|243.289993|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|36|NASDAQ|2020|02|03|15|30|877800|242.070007|216.5|240.990005|218|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|37|NASDAQ|2020|01|31|15|30|1459000|225|203|218.789993|210.75|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|38|NASDAQ|2020|01|30|15|30|191500|194.227005|187.649994|194.039993|189.100006|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|39|NASDAQ|2020|01|29|15|30|219500|196.649994|190.910004|191.149994|194.570007|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
RETA|40|NASDAQ|2020|01|28|15|30|147600|198.970001|193.130005|194.410004|197.75|biotechnology|1.1|3.5|3.5|-|-|220|usa|1.45|0.86|10.1|Feb 19 AMC|healthcare|81.199997|4530.000488
