empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
RNLC|0|NASDAQ|2020|01|29|15|30|5100|25.07|24.923|24.923|24.98|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|1|NASDAQ|2020|01|28|15|30|1800|25.114|24.809999|25.065001|24.809999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|2|NASDAQ|2020|01|27|15|30|1400|24.851999|24.834999|24.834999|24.851999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|3|NASDAQ|2020|01|24|15|30|2200|25.399|25.195|25.231001|25.399|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|4|NASDAQ|2020|01|23|15|30|16100|25.546|25.374001|25.52|25.374001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|5|NASDAQ|2020|01|22|15|30|800|25.527|25.445|25.445|25.527|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|6|NASDAQ|2020|01|21|15|30|13400|25.549999|25.378|25.407|25.549999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|7|NASDAQ|2020|01|17|15|30|3700|25.5|25.476999|25.5|25.476999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|8|NASDAQ|2020|01|16|15|30|12000|25.429001|25.363001|25.429001|25.392|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|9|NASDAQ|2020|01|15|15|30|300|25.232|25.17|25.17|25.232|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|10|NASDAQ|2020|01|14|15|30|500|25.139999|25.139999|25.139999|25.139999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|11|NASDAQ|2020|01|13|15|30|2600|25.129999|25.082001|25.129999|25.082001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|12|NASDAQ|2020|01|10|15|30|1200|25.09|24.995001|24.995001|25.09|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|13|NASDAQ|2020|01|09|15|30|1700|25.084999|24.92|25.062|24.92|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|14|NASDAQ|2020|01|08|15|30|3500|25.055|24.924999|24.969999|24.924999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|15|NASDAQ|2020|01|07|15|30|7300|24.909|24.84|24.879|24.84|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|16|NASDAQ|2020|01|06|15|30|13300|24.865|24.690001|24.865|24.690001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|17|NASDAQ|2020|01|03|15|30|24800|24.924999|24.827999|24.874001|24.889999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|18|NASDAQ|2020|01|02|15|30|200|25.025|24.947001|25.025|24.947001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|19|NASDAQ|2019|12|31|15|30|3200|24.950001|24.780001|24.950001|24.870001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|20|NASDAQ|2019|12|30|15|30|4900|24.909|24.833|24.833|24.909|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|21|NASDAQ|2019|12|27|15|30|0|24.886999|24.886999|24.886999|24.886999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|22|NASDAQ|2019|12|26|15|30|0|24.886999|24.886999|24.886999|24.886999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|23|NASDAQ|2019|12|24|15|30|900|24.886999|24.84|24.886999|24.84|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|24|NASDAQ|2019|12|23|15|30|4600|25|24.860001|24.903|25|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|25|NASDAQ|2019|12|20|15|30|2200|24.93|24.85|24.9|24.91|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|26|NASDAQ|2019|12|19|15|30|1000|24.77|24.700001|24.721001|24.700001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|27|NASDAQ|2019|12|18|15|30|1500|24.677999|24.597|24.65|24.597|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|28|NASDAQ|2019|12|17|15|30|4200|24.656|24.625|24.625|24.627001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|29|NASDAQ|2019|12|16|15|30|1700|24.691999|24.639999|24.639999|24.664|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|30|NASDAQ|2019|12|13|15|30|3100|24.747|24.424999|24.434999|24.747|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|31|NASDAQ|2019|12|12|15|30|1000|24.639999|24.558001|24.639999|24.558001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|32|NASDAQ|2019|12|11|15|30|2300|24.368999|24.323999|24.360001|24.323999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|33|NASDAQ|2019|12|10|15|30|2500|24.370001|24.246|24.246|24.370001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|34|NASDAQ|2019|12|09|15|30|1600|24.309999|24.271|24.290001|24.309999|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|35|NASDAQ|2019|12|06|15|30|4100|24.358999|24.332001|24.358999|24.332001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|36|NASDAQ|2019|12|05|15|30|200|24.135|24.110001|24.135|24.110001|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
RNLC|37|NASDAQ|2019|12|04|15|30|7400|24.17|24.09|24.122|24.09|exchangetradedfund|-|-|-|-|1.55|-|usa|-|-|-|-|financial|-|-
