empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SOLY|0|NASDAQ|2020|03|25|14|30|116000|8.935|8.12|8.41|8.29|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|1|NASDAQ|2020|03|24|14|30|201100|8.7|7.74|8.22|7.74|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|2|NASDAQ|2020|03|23|14|30|182500|7.65|6.78|7.34|7.28|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|3|NASDAQ|2020|03|20|14|30|250800|8.16|6.64|7.28|8.16|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|4|NASDAQ|2020|03|19|14|30|185900|8.35|7.3|8|7.49|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|5|NASDAQ|2020|03|18|14|30|218100|8.86|7.21|7.71|8.2|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|6|NASDAQ|2020|03|17|14|30|189600|9|8.07|8.99|8.22|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|7|NASDAQ|2020|03|16|14|30|211000|9.35|7.05|8.03|7.05|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|8|NASDAQ|2020|03|13|14|30|229800|9.93|8.665|9.93|8.9|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|9|NASDAQ|2020|03|12|14|30|365700|10|8.17|8.34|9.81|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|10|NASDAQ|2020|03|11|14|30|254200|11.4|10.1|10.66|11.1|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|11|NASDAQ|2020|03|10|14|30|161500|10.81|10.01|10.66|10.46|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|12|NASDAQ|2020|03|09|14|30|420300|10.95|9.39|9.97|10.31|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|13|NASDAQ|2020|03|06|15|30|106400|11.95|11.28|11.43|11.9|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|14|NASDAQ|2020|03|05|15|30|156600|12.42|11.955|12.22|12.35|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|15|NASDAQ|2020|03|04|15|30|154800|12.5|11.662|12.45|12.2|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|16|NASDAQ|2020|03|03|15|30|259100|12.434|11.267|11.59|11.62|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|17|NASDAQ|2020|03|02|15|30|152400|11.027|10.31|10.94|10.51|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|18|NASDAQ|2020|02|28|15|30|229600|10.84|10|10.53|10.44|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|19|NASDAQ|2020|02|27|15|30|256100|11.34|10.5|10.7|11.02|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|20|NASDAQ|2020|02|26|15|30|129300|12.1|11.21|11.36|11.85|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|21|NASDAQ|2020|02|25|15|30|115900|12.485|11.73|11.86|12.05|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|22|NASDAQ|2020|02|24|15|30|132700|12.44|11.77|12.02|12.44|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|23|NASDAQ|2020|02|21|15|30|85300|12.91|12.42|12.77|12.88|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|24|NASDAQ|2020|02|20|15|30|139700|13|12.51|12.92|12.89|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|25|NASDAQ|2020|02|19|15|30|132100|13.25|12.89|12.91|13.2|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
SOLY|26|NASDAQ|2020|02|18|15|30|191200|13.18|12.5|13.05|12.5|medicalappliancesequipment|62.5|4.3|4.3|-|-|9|usa|0|0|9.7|-|healthcare|11.3|135.539993
