empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
SYBT|0|NASDAQ|2020|03|25|14|30|86700|28.48|26.780001|27.08|28.190001|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|1|NASDAQ|2020|03|24|14|30|107100|28.17|25.65|28.09|26.02|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|2|NASDAQ|2020|03|23|14|30|88000|25.48|22.98|24.76|25.360001|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|3|NASDAQ|2020|03|20|14|30|149800|28.65|25.17|25.280001|28.01|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|4|NASDAQ|2020|03|19|14|30|107100|29.25|26.030001|28.190001|26.110001|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|5|NASDAQ|2020|03|18|14|30|126400|27.709999|25.52|26.57|27.48|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|6|NASDAQ|2020|03|17|14|30|107800|29.68|25.709999|29.68|26.040001|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|7|NASDAQ|2020|03|16|14|30|88600|27.58|26.01|26.309999|26.620001|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|8|NASDAQ|2020|03|13|14|30|132800|29.25|27.280001|28.99|28.17|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|9|NASDAQ|2020|03|12|14|30|74800|28.469999|26.09|26.68|26.969999|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|10|NASDAQ|2020|03|11|14|30|58800|30.469999|28.690001|29.33|29.959999|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|11|NASDAQ|2020|03|10|14|30|59100|31.129999|29.389999|30.860001|30.73|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|12|NASDAQ|2020|03|09|14|30|74400|31.75|29.51|29.73|30.66|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|13|NASDAQ|2020|03|06|15|30|61100|34.470001|32.720001|33.560001|33.310001|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|14|NASDAQ|2020|03|05|15|30|55100|35.349998|33.830002|34.41|35.169998|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|15|NASDAQ|2020|03|04|15|30|53300|36.16|34.799999|36.040001|35.349998|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|16|NASDAQ|2020|03|03|15|30|47800|36.43|34.580002|34.990002|36.299999|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|17|NASDAQ|2020|03|02|15|30|60000|36.740002|34.82|36.650002|35.040001|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|18|NASDAQ|2020|02|28|15|30|113200|35.93|34.290001|34.939999|35.240002|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
SYBT|19|NASDAQ|2020|02|27|15|30|53500|37.799999|36.029999|36.049999|37.029999|regionalsoutheastbanks|2.6|-|-|9.44|3.96|615|usa|0|0|2.96|Apr 29 BMO|financial|54.099998|581.940002
