empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TMSR|0|NASDAQ|2020|03|25|14|30|2000|1.02|0.949|1.02|0.949|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|1|NASDAQ|2020|03|24|14|30|7300|1.028|0.862|0.862|0.98|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|2|NASDAQ|2020|03|23|14|30|5600|0.98|0.75|0.98|0.86|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|3|NASDAQ|2020|03|20|14|30|2100|1.03|0.86|0.86|0.862|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|4|NASDAQ|2020|03|19|14|30|4600|0.91|0.86|0.905|0.9|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|5|NASDAQ|2020|03|18|14|30|3500|1.07|0.8|0.84|1.07|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|6|NASDAQ|2020|03|17|14|30|5300|1.073|0.8|1.073|0.861|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|7|NASDAQ|2020|03|16|14|30|5100|0.95|0.808|0.861|0.9|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|8|NASDAQ|2020|03|13|14|30|11000|1.07|1.03|1.03|1.05|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|9|NASDAQ|2020|03|12|14|30|12000|1.17|1.02|1.05|1.1|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|10|NASDAQ|2020|03|11|14|30|3600|1.17|1.02|1.13|1.17|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|11|NASDAQ|2020|03|10|14|30|2800|1.01|0.99|1|1.01|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|12|NASDAQ|2020|03|09|14|30|1600|1.11|1|1|1.1|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|13|NASDAQ|2020|03|06|15|30|4600|1.25|1.065|1.11|1.25|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|14|NASDAQ|2020|03|05|15|30|6300|1.27|1.12|1.158|1.2|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|15|NASDAQ|2020|03|04|15|30|4700|1.3|1.15|1.3|1.18|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|16|NASDAQ|2020|03|03|15|30|8600|1.35|1.11|1.15|1.32|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|17|NASDAQ|2020|03|02|15|30|2700|1.345|1.23|1.23|1.345|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|18|NASDAQ|2020|02|28|15|30|11200|1.54|1.25|1.25|1.54|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
TMSR|19|NASDAQ|2020|02|27|15|30|3600|1.49|1.36|1.425|1.36|conglomerates|20.799999|1|1.1|-|-|-|china|0|0|-|-|conglomerates|-|20.5
