empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TRNS|0|NASDAQ|2020|03|25|14|30|44800|27.68|24.91|26.940001|27.68|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|1|NASDAQ|2020|03|24|14|30|27300|27.98|24.48|27.98|26.290001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|2|NASDAQ|2020|03|23|14|30|39500|27.700001|20.629999|26.58|26.530001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|3|NASDAQ|2020|03|20|14|30|72800|26.389999|21.9|26.389999|24.76|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|4|NASDAQ|2020|03|19|14|30|33600|25.879999|17.25|25|20.559999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|5|NASDAQ|2020|03|18|14|30|79900|26.26|16.5|20.26|26.26|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|6|NASDAQ|2020|03|17|14|30|35400|28.17|21.77|28|22.709999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|7|NASDAQ|2020|03|16|14|30|40100|25.77|21.379999|22.299999|23.65|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|8|NASDAQ|2020|03|13|14|30|35300|26.58|23.77|25.950001|25.860001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|9|NASDAQ|2020|03|12|14|30|26000|27.219999|23.43|25.01|26.620001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|10|NASDAQ|2020|03|11|14|30|22900|28.879999|26.219999|27.83|27.4|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|11|NASDAQ|2020|03|10|14|30|37800|29.5|26.52|29.07|29.23|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|12|NASDAQ|2020|03|09|14|30|24100|30.59|28|28.700001|30.370001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|13|NASDAQ|2020|03|06|15|30|26400|32.25|30.42|31.23|30.780001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|14|NASDAQ|2020|03|05|15|30|28800|33|29.030001|30.84|32.259998|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|15|NASDAQ|2020|03|04|15|30|13400|32.93|30.809999|32.93|31.52|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|16|NASDAQ|2020|03|03|15|30|29400|31.52|30.18|31.32|31.16|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|17|NASDAQ|2020|03|02|15|30|33000|31.280001|28.780001|31.280001|28.809999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|18|NASDAQ|2020|02|28|15|30|20200|29.379999|28.139999|28.889999|28.139999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|19|NASDAQ|2020|02|27|15|30|54400|31.41|27.83|28.719999|30.41|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|20|NASDAQ|2020|02|26|15|30|43600|30.860001|30|30.719999|30.620001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|21|NASDAQ|2020|02|25|15|30|23500|30.459999|30.15|30.26|30.26|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|22|NASDAQ|2020|02|24|15|30|11200|30.93|30.07|30.26|30.719999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|23|NASDAQ|2020|02|21|15|30|10400|31.99|31.040001|31.040001|31.379999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|24|NASDAQ|2020|02|20|15|30|7800|31.74|30.67|31.42|31.309999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|25|NASDAQ|2020|02|19|15|30|21300|32.220001|31.200001|31.32|32.220001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|26|NASDAQ|2020|02|18|15|30|3700|32.130001|31.75|31.75|32.130001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|27|NASDAQ|2020|02|14|15|30|9800|32.41|31.5|32.150002|32.189999|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|28|NASDAQ|2020|02|13|15|30|12000|32.41|30.290001|32.209999|31.450001|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|29|NASDAQ|2020|02|12|15|30|10600|31.950001|30.549999|31.6|31.74|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|30|NASDAQ|2020|02|11|15|30|12000|32.419998|31.4|31.65|32.240002|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|31|NASDAQ|2020|02|10|15|30|6600|32.310001|31.51|32.209999|32.02|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|32|NASDAQ|2020|02|07|15|30|37700|32.98|31.219999|32.290001|32.599998|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|33|NASDAQ|2020|02|06|15|30|28700|32.98|30.84|32.900002|30.84|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
TRNS|34|NASDAQ|2020|02|05|15|30|19900|32.580002|29.91|30.82|30.59|scientifictechnicalinstruments|1.4|1.5|2.3|23.120001|-|685|usa|0.3|0.27|16.68|Feb 04 AMC|technology|71.699997|186.830002
