empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
TWST|0|NASDAQ|2020|03|25|14|30|433500|27.99|25.940001|27.75|26.76|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|1|NASDAQ|2020|03|24|14|30|389100|26.74|24.950001|26.74|24.950001|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|2|NASDAQ|2020|03|23|14|30|441500|24.639999|21.530001|24.16|24.360001|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|3|NASDAQ|2020|03|20|14|30|1065000|24.5|22|23.969999|23.030001|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|4|NASDAQ|2020|03|19|14|30|750100|22.799999|19.68|22.67|19.68|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|5|NASDAQ|2020|03|18|14|30|824500|22.360001|19.5|19.709999|21.57|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|6|NASDAQ|2020|03|17|14|30|887400|23.049999|18.52|22.379999|20.15|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|7|NASDAQ|2020|03|16|14|30|738700|24.219999|19.75|19.75|22|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|8|NASDAQ|2020|03|13|14|30|660100|26.219999|23.120001|25.6|25|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|9|NASDAQ|2020|03|12|14|30|919300|28|23.01|24.059999|28|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|10|NASDAQ|2020|03|11|14|30|817500|31.809999|27.65|28.200001|30.32|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|11|NASDAQ|2020|03|10|14|30|635900|34.880001|29.379999|30.709999|34.299999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|12|NASDAQ|2020|03|09|14|30|731800|34.400002|30.34|33.459999|33|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|13|NASDAQ|2020|03|06|15|30|734800|35.91|33.049999|35.150002|33.049999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|14|NASDAQ|2020|03|05|15|30|494200|34.82|32.639999|33.73|32.669998|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|15|NASDAQ|2020|03|04|15|30|546200|34.27|32.349998|33.16|33.16|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|16|NASDAQ|2020|03|03|15|30|538500|32.900002|31.65|32.580002|31.99|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|17|NASDAQ|2020|03|02|15|30|506800|32.84|30.73|32.16|31.040001|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|18|NASDAQ|2020|02|28|15|30|809100|31.07|29.309999|30.620001|29.309999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|19|NASDAQ|2020|02|27|15|30|514800|32.549999|29.129999|30.280001|30.139999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|20|NASDAQ|2020|02|26|15|30|557500|32.869999|30.1|30.719999|31.879999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|21|NASDAQ|2020|02|25|15|30|711400|34.029999|31.5|31.700001|33.23|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|22|NASDAQ|2020|02|24|15|30|1063300|35.650002|31.01|33.029999|32.66|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|23|NASDAQ|2020|02|21|15|30|696700|34.25|32.040001|33.049999|32.939999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|24|NASDAQ|2020|02|20|15|30|3641900|33.790001|29.790001|33.130001|30.139999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|25|NASDAQ|2020|02|19|15|30|1046400|29.940001|27.700001|28.440001|29.129999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|26|NASDAQ|2020|02|18|15|30|324800|31.360001|29.91|30.559999|29.950001|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|27|NASDAQ|2020|02|14|15|30|473900|30.4|29.48|30.200001|30.219999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|28|NASDAQ|2020|02|13|15|30|339900|31.35|29.809999|30.23|31.08|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|29|NASDAQ|2020|02|12|15|30|548200|31.879999|30|30.940001|30.059999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|30|NASDAQ|2020|02|11|15|30|599600|32.299999|30.32|30.5|32.02|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
TWST|31|NASDAQ|2020|02|10|15|30|521800|33.5|31.5|32.59|32.049999|medicallaboratoriesresearch|6.4|2.1|2.2|-|-|414|usa|0.07|0.04|35.299999|Feb 06 AMC|healthcare|65.199997|988.799988
