empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
VIVO|0|NASDAQ|2020|03|25|14|30|578100|7.06|6.6|6.7|6.88|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|1|NASDAQ|2020|03|24|14|30|538800|7.26|6.51|6.82|7.01|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|2|NASDAQ|2020|03|23|14|30|534400|7.51|6.51|6.68|7.51|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|3|NASDAQ|2020|03|20|14|30|853000|7.82|7.18|7.37|7.47|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|4|NASDAQ|2020|03|19|14|30|1016800|8.23|7.07|7.48|7.3|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|5|NASDAQ|2020|03|18|14|30|756600|7.49|6.79|7.34|7.04|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|6|NASDAQ|2020|03|17|14|30|1187300|7.5|6.24|7.49|6.52|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|7|NASDAQ|2020|03|16|14|30|1251500|6.52|5.85|6.41|6.02|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|8|NASDAQ|2020|03|13|14|30|1141300|6.33|5.51|6.33|5.89|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|9|NASDAQ|2020|03|12|14|30|847600|6.19|5.53|5.57|6.19|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|10|NASDAQ|2020|03|11|14|30|788300|6.8|6.42|6.43|6.68|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|11|NASDAQ|2020|03|10|14|30|1209500|7.79|6.61|6.86|7.77|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|12|NASDAQ|2020|03|09|14|30|1015700|7.84|7.3|7.67|7.78|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|13|NASDAQ|2020|03|06|15|30|857300|8.21|7.86|8.06|8.16|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|14|NASDAQ|2020|03|05|15|30|937500|8.56|7.98|8.23|8.53|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|15|NASDAQ|2020|03|04|15|30|848400|8.61|7.87|8.56|8.1|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|16|NASDAQ|2020|03|03|15|30|876600|8.33|7.75|8|8.33|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|17|NASDAQ|2020|03|02|15|30|1249400|8.84|8.12|8.31|8.31|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|18|NASDAQ|2020|02|28|15|30|2048800|9.53|7.87|7.99|9.25|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|19|NASDAQ|2020|02|27|15|30|2073200|8.39|7.56|8.16|8.21|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
VIVO|20|NASDAQ|2020|02|26|15|30|492800|7.56|7.25|7.47|7.56|diagnosticsubstances|1|3.1|4.4|15.8|-|660|usa|0|0.38|20.690001|Feb 07 BMO|healthcare|87.599998|300.809998
