empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
VTIP|0|NASDAQ|2020|03|25|14|30|1601300|48.919998|48.5|48.790001|48.560001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|1|NASDAQ|2020|03|24|14|30|1695000|48.73|48.299999|48.450001|48.650002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|2|NASDAQ|2020|03|23|14|30|2495000|48.43|48.110001|48.299999|48.279999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|3|NASDAQ|2020|03|20|14|30|1634600|48.380001|47.529999|48.209999|47.77|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|4|NASDAQ|2020|03|19|14|30|3977500|47.900002|46.599998|47.77|46.740002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|5|NASDAQ|2020|03|18|14|30|1545200|47.5|46.490002|46.790001|47.459999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|6|NASDAQ|2020|03|17|14|30|2087900|48.060001|47.5|47.5|47.970001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|7|NASDAQ|2020|03|16|14|30|1927800|47.880001|47.09|47.619999|47.880001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|8|NASDAQ|2020|03|13|14|30|2363400|48.57|47.75|48.209999|47.75|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|9|NASDAQ|2020|03|12|14|30|6444000|49|46.380001|47.18|47.93|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|10|NASDAQ|2020|03|11|14|30|2485800|48.98|47.630001|47.669998|48.77|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|11|NASDAQ|2020|03|10|14|30|3166800|49.27|48.18|48.330002|49.16|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|12|NASDAQ|2020|03|09|14|30|2544400|49.68|48.68|48.880001|49.59|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|13|NASDAQ|2020|03|06|15|30|2545100|49.959999|49.759998|49.779999|49.93|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|14|NASDAQ|2020|03|05|15|30|1695200|49.98|49.900002|49.919998|49.959999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|15|NASDAQ|2020|03|04|15|30|705100|49.970001|49.860001|49.869999|49.93|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|16|NASDAQ|2020|03|03|15|30|1428400|49.98|49.689999|49.91|49.709999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|17|NASDAQ|2020|03|02|15|30|2148900|49.73|49.619999|49.650002|49.700001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|18|NASDAQ|2020|02|28|15|30|1378000|49.689999|49.610001|49.66|49.610001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|19|NASDAQ|2020|02|27|15|30|1660000|49.650002|49.580002|49.619999|49.610001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|20|NASDAQ|2020|02|26|15|30|877900|49.610001|49.540001|49.580002|49.560001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|21|NASDAQ|2020|02|25|15|30|713600|49.639999|49.560001|49.57|49.599998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|22|NASDAQ|2020|02|24|15|30|765600|49.619999|49.57|49.59|49.57|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|23|NASDAQ|2020|02|21|15|30|748200|49.560001|49.490002|49.549999|49.490002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|24|NASDAQ|2020|02|20|15|30|1235800|49.5|49.470001|49.5|49.48|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|25|NASDAQ|2020|02|19|15|30|444300|49.490002|49.459999|49.470001|49.470001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|26|NASDAQ|2020|02|18|15|30|485600|49.490002|49.450001|49.48|49.459999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|27|NASDAQ|2020|02|14|15|30|494600|49.470001|49.439999|49.450001|49.459999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|28|NASDAQ|2020|02|13|15|30|442800|49.470001|49.43|49.450001|49.459999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|29|NASDAQ|2020|02|12|15|30|557500|49.43|49.369999|49.41|49.389999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|30|NASDAQ|2020|02|11|15|30|642700|49.41|49.369999|49.400002|49.41|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|31|NASDAQ|2020|02|10|15|30|606200|49.450001|49.400002|49.450001|49.419998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|32|NASDAQ|2020|02|07|15|30|590800|49.419998|49.360001|49.419998|49.360001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|33|NASDAQ|2020|02|06|15|30|416100|49.34|49.290001|49.34|49.310001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|34|NASDAQ|2020|02|05|15|30|487800|49.330002|49.290001|49.32|49.299999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|35|NASDAQ|2020|02|04|15|30|684000|49.360001|49.299999|49.32|49.360001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|36|NASDAQ|2020|02|03|15|30|783400|49.389999|49.349998|49.389999|49.389999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|37|NASDAQ|2020|01|31|15|30|1144700|49.470001|49.389999|49.459999|49.400002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|38|NASDAQ|2020|01|30|15|30|518800|49.41|49.34|49.389999|49.360001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|39|NASDAQ|2020|01|29|15|30|1329200|49.369999|49.290001|49.369999|49.310001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|40|NASDAQ|2020|01|28|15|30|511700|49.310001|49.279999|49.279999|49.299999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|41|NASDAQ|2020|01|27|15|30|696300|49.299999|49.27|49.299999|49.290001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|42|NASDAQ|2020|01|24|15|30|1286600|49.299999|49.25|49.27|49.299999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|43|NASDAQ|2020|01|23|15|30|528500|49.310001|49.290001|49.310001|49.290001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|44|NASDAQ|2020|01|22|15|30|1679700|49.330002|49.279999|49.299999|49.330002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|45|NASDAQ|2020|01|21|15|30|617400|49.349998|49.27|49.349998|49.27|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|46|NASDAQ|2020|01|17|15|30|1276500|49.299999|49.27|49.290001|49.290001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|47|NASDAQ|2020|01|16|15|30|987600|49.310001|49.259998|49.299999|49.279999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|48|NASDAQ|2020|01|15|15|30|1001000|49.330002|49.290001|49.310001|49.32|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|49|NASDAQ|2020|01|14|15|30|535900|49.310001|49.279999|49.310001|49.290001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|50|NASDAQ|2020|01|13|15|30|654700|49.299999|49.27|49.299999|49.279999|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|51|NASDAQ|2020|01|10|15|30|495900|49.290001|49.25|49.290001|49.259998|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|52|NASDAQ|2020|01|09|15|30|682700|49.27|49.220001|49.27|49.23|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|53|NASDAQ|2020|01|08|15|30|900800|49.32|49.240002|49.27|49.310001|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|54|NASDAQ|2020|01|07|15|30|765700|49.330002|49.299999|49.32|49.330002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
VTIP|55|NASDAQ|2020|01|06|15|30|621500|49.400002|49.349998|49.369999|49.400002|exchangetradedfund|-|-|-|-|1.92|-|usa|-|-|-|-|financial|-|-
