empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
VUZI|0|NASDAQ|2020|01|29|15|30|290000|1.99|1.87|1.97|1.98|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|1|NASDAQ|2020|01|28|15|30|517100|2.02|1.8|2|1.86|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|2|NASDAQ|2020|01|27|15|30|659700|1.92|1.77|1.82|1.86|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|3|NASDAQ|2020|01|24|15|30|523800|2.05|1.92|1.93|1.99|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|4|NASDAQ|2020|01|23|15|30|355100|2.03|1.98|2|2.01|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|5|NASDAQ|2020|01|22|15|30|418400|2.05|1.96|1.99|2.04|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|6|NASDAQ|2020|01|21|15|30|902300|2.08|1.95|1.96|1.95|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|7|NASDAQ|2020|01|17|15|30|654300|1.99|1.91|1.95|1.95|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|8|NASDAQ|2020|01|16|15|30|985800|1.95|1.81|1.9|1.83|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|9|NASDAQ|2020|01|15|15|30|1101400|1.87|1.65|1.79|1.79|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|10|NASDAQ|2020|01|14|15|30|673200|1.9|1.78|1.78|1.89|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|11|NASDAQ|2020|01|13|15|30|699200|2|1.8|1.87|1.97|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|12|NASDAQ|2020|01|10|15|30|832400|2.09|1.92|1.97|2.03|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|13|NASDAQ|2020|01|09|15|30|378400|2.12|2.02|2.03|2.12|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|14|NASDAQ|2020|01|08|15|30|237600|2.23|2.08|2.09|2.2|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|15|NASDAQ|2020|01|07|15|30|408900|2.42|2.15|2.19|2.32|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|16|NASDAQ|2020|01|06|15|30|316000|2.31|2.25|2.31|2.29|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|17|NASDAQ|2020|01|03|15|30|316300|2.29|2.1|2.26|2.13|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|18|NASDAQ|2020|01|02|15|30|249000|2.15|2|2.11|2.05|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|19|NASDAQ|2019|12|31|15|30|481500|2.03|1.98|2.01|2.02|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|20|NASDAQ|2019|12|30|15|30|388700|2.09|2|2.01|2.07|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|21|NASDAQ|2019|12|27|15|30|203800|2.12|2.06|2.1|2.1|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|22|NASDAQ|2019|12|26|15|30|159100|2.15|2.08|2.11|2.15|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|23|NASDAQ|2019|12|24|15|30|140500|2.17|2.09|2.09|2.13|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|24|NASDAQ|2019|12|23|15|30|125100|2.18|2.06|2.15|2.07|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|25|NASDAQ|2019|12|20|15|30|415900|2.21|2.06|2.08|2.19|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|26|NASDAQ|2019|12|19|15|30|216200|2.25|2.14|2.15|2.18|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|27|NASDAQ|2019|12|18|15|30|251600|2.19|2.07|2.19|2.11|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|28|NASDAQ|2019|12|17|15|30|364200|2.24|2.07|2.09|2.24|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|29|NASDAQ|2019|12|16|15|30|195300|2.29|2.18|2.24|2.2|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|30|NASDAQ|2019|12|13|15|30|318300|2.29|2.14|2.17|2.19|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|31|NASDAQ|2019|12|12|15|30|247100|2.35|2.15|2.16|2.29|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|32|NASDAQ|2019|12|11|15|30|127000|2.4|2.28|2.3|2.4|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|33|NASDAQ|2019|12|10|15|30|128800|2.44|2.35|2.39|2.44|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|34|NASDAQ|2019|12|09|15|30|123600|2.45|2.38|2.42|2.4|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|35|NASDAQ|2019|12|06|15|30|232700|2.48|2.36|2.39|2.42|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|36|NASDAQ|2019|12|05|15|30|166300|2.5|2.37|2.4|2.47|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|37|NASDAQ|2019|12|04|15|30|275800|2.46|2.36|2.44|2.45|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|38|NASDAQ|2019|12|03|15|30|388900|2.5|2.29|2.41|2.39|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|39|NASDAQ|2019|12|02|15|30|221700|2.47|2.27|2.32|2.47|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|40|NASDAQ|2019|11|29|15|30|341000|2.48|2.29|2.44|2.29|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|41|NASDAQ|2019|11|27|15|30|223700|2.32|2.15|2.3|2.15|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|42|NASDAQ|2019|11|26|15|30|244000|2.22|2.08|2.16|2.1|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|43|NASDAQ|2019|11|25|15|30|112800|2.11|2.02|2.09|2.02|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|44|NASDAQ|2019|11|22|15|30|219200|2.09|1.97|2.03|2.05|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|45|NASDAQ|2019|11|21|15|30|142700|2.15|2|2.01|2.06|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|46|NASDAQ|2019|11|20|15|30|110500|2.15|2.05|2.05|2.13|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|47|NASDAQ|2019|11|19|15|30|193400|2.13|2.03|2.11|2.07|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|48|NASDAQ|2019|11|18|15|30|173800|2.17|2.05|2.05|2.14|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|49|NASDAQ|2019|11|15|15|30|170900|2.23|2.1|2.17|2.22|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|50|NASDAQ|2019|11|14|15|30|94600|2.26|2.16|2.2|2.21|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|51|NASDAQ|2019|11|13|15|30|129900|2.26|2.16|2.24|2.21|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|52|NASDAQ|2019|11|12|15|30|126500|2.28|2.18|2.22|2.28|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|53|NASDAQ|2019|11|11|15|30|140400|2.28|2.12|2.28|2.2|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|54|NASDAQ|2019|11|08|15|30|384300|2.34|2.07|2.18|2.31|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|55|NASDAQ|2019|11|07|15|30|294400|2.46|2.23|2.3|2.4|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|56|NASDAQ|2019|11|06|15|30|280700|2.54|2.35|2.37|2.51|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|57|NASDAQ|2019|11|05|15|30|387300|2.57|2.39|2.5|2.41|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|58|NASDAQ|2019|11|04|15|30|171900|2.53|2.4|2.44|2.5|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|59|NASDAQ|2019|11|01|14|30|205300|2.54|2.41|2.48|2.42|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|60|NASDAQ|2019|10|31|14|30|202000|2.5|2.38|2.4|2.49|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|61|NASDAQ|2019|10|30|14|30|205000|2.47|2.29|2.46|2.39|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|62|NASDAQ|2019|10|29|14|30|80600|2.42|2.32|2.34|2.4|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|63|NASDAQ|2019|10|28|14|30|165900|2.51|2.37|2.41|2.47|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|64|NASDAQ|2019|10|25|15|30|169700|2.46|2.35|2.45|2.44|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|65|NASDAQ|2019|10|24|15|30|215900|2.47|2.35|2.42|2.4|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|66|NASDAQ|2019|10|23|15|30|286500|2.41|2.29|2.4|2.3|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|67|NASDAQ|2019|10|22|15|30|181700|2.44|2.3|2.33|2.41|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|68|NASDAQ|2019|10|21|15|30|199100|2.43|2.29|2.38|2.38|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|69|NASDAQ|2019|10|18|15|30|72500|2.36|2.29|2.36|2.32|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|70|NASDAQ|2019|10|17|15|30|148900|2.38|2.27|2.33|2.3|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|71|NASDAQ|2019|10|16|15|30|150000|2.38|2.26|2.27|2.34|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|72|NASDAQ|2019|10|15|15|30|138400|2.33|2.23|2.33|2.28|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|73|NASDAQ|2019|10|14|15|30|101200|2.29|2.21|2.29|2.22|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|74|NASDAQ|2019|10|11|15|30|92100|2.37|2.25|2.26|2.37|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|75|NASDAQ|2019|10|10|15|30|142200|2.38|2.22|2.33|2.35|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|76|NASDAQ|2019|10|09|15|30|124700|2.37|2.26|2.34|2.29|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|77|NASDAQ|2019|10|08|15|30|165700|2.39|2.26|2.29|2.39|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|78|NASDAQ|2019|10|07|15|30|223100|2.42|2.22|2.39|2.23|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|79|NASDAQ|2019|10|04|15|30|63900|2.28|2.22|2.23|2.24|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|80|NASDAQ|2019|10|03|15|30|100300|2.31|2.19|2.25|2.22|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
VUZI|81|NASDAQ|2019|10|02|15|30|142500|2.25|2.13|2.22|2.17|electronicequipment|6|7.1|10.3|-|-|80|usa|0|0|36.400002|Feb 13 AMC|consumergoods|17.1|62.900002
