empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ACAMU|0|NASDAQ|2020|03|27|20|29|776|9.9|9.9|9.9|9.98|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|1|NASDAQ|2020|03|26|14|30|0|9.66|9.66|9.66|9.66|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|2|NASDAQ|2020|03|25|14|30|0|9.66|9.66|9.66|9.66|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|3|NASDAQ|2020|03|24|14|30|240|9.66|9.66|9.66|9.66|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|4|NASDAQ|2020|03|23|14|30|18517|9.8|9.8|9.8|9.8|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|5|NASDAQ|2020|03|20|14|30|103302|9.85|9.7|9.7|9.7|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|6|NASDAQ|2020|03|19|14|30|0|9.8|9.8|9.8|9.8|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|7|NASDAQ|2020|03|18|14|30|1999|9.83|9.8|9.8|9.83|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|8|NASDAQ|2020|03|17|14|30|206000|10.02|9.8|10.01|9.8|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
ACAMU|9|NASDAQ|2020|03|16|14|30|0|10.25|10.25|10.25|10.25|conglomerates|-|13.2|13.2|-|-|-|usa|0|0|-|-|conglomerates|21|672.900024
