empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ACWI|0|NASDAQ|2020|03|27|14|30|5637900|62.860001|60.84|61.68|61.189999|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|1|NASDAQ|2020|03|26|14|30|13227500|63.759998|60.889999|63.540001|60.990002|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|2|NASDAQ|2020|03|25|14|30|14629400|62.130001|58.529999|60.360001|59.419998|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|3|NASDAQ|2020|03|24|14|30|5105700|59.110001|57.18|58.75|57.639999|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|4|NASDAQ|2020|03|23|14|30|8156700|55.52|53.310001|54.330002|55.18|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|5|NASDAQ|2020|03|20|14|30|6484800|58.75|55.299999|55.310001|58.099998|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|6|NASDAQ|2020|03|19|14|30|9173800|58.349998|55.139999|57.119999|56.189999|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|7|NASDAQ|2020|03|18|14|30|9230200|58|54.169998|56.759998|56.099998|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|8|NASDAQ|2020|03|17|14|30|8580800|60.439999|56.599998|60.389999|58.09|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|9|NASDAQ|2020|03|16|14|30|6968800|60.34|53.799999|56.84|53.799999|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|10|NASDAQ|2020|03|13|14|30|10082700|64.839996|59.849998|64.019997|63.290001|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|11|NASDAQ|2020|03|12|14|30|10362200|63|59.5|59.740002|61.310001|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|12|NASDAQ|2020|03|11|14|30|7040200|68.120003|65.629997|66.25|67.919998|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|13|NASDAQ|2020|03|10|14|30|6150500|69.860001|66.809998|69.860001|69.209999|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|14|NASDAQ|2020|03|09|14|30|15532800|68.900002|66.550003|66.790001|67.290001|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|15|NASDAQ|2020|03|06|15|30|4586200|72.599998|71.07|72.230003|71.5|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|16|NASDAQ|2020|03|05|15|30|3210100|74.790001|73.120003|73.540001|73.989998|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|17|NASDAQ|2020|03|04|15|30|3885200|75.860001|73.980003|75.860001|74.519997|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|18|NASDAQ|2020|03|03|15|30|6983500|75.93|72.660004|72.870003|74.849998|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|19|NASDAQ|2020|03|02|15|30|7880100|74.709999|71.989998|74.650002|72.620003|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|20|NASDAQ|2020|02|28|15|30|7472500|72.370003|70.169998|72.260002|70.809998|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|21|NASDAQ|2020|02|27|15|30|10056300|75.230003|72.839996|73.029999|74.379997|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|22|NASDAQ|2020|02|26|15|30|7015500|77.019997|75.550003|75.68|76.260002|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
ACWI|23|NASDAQ|2020|02|25|15|30|7897800|78.139999|75.610001|75.610001|77.959999|exchangetradedfund|-|-|-|-|2.3|-|usa|-|-|-|-|financial|-|-
