empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ALLT|0|NASDAQ|2020|03|27|14|30|107800|9.49|8.61|9.21|9.25|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|1|NASDAQ|2020|03|26|14|30|246200|9.55|8.26|9.51|8.26|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|2|NASDAQ|2020|03|25|14|30|193000|8.49|8.01|8.24|8.2|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|3|NASDAQ|2020|03|24|14|30|230500|8.49|7.94|8.17|8.13|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|4|NASDAQ|2020|03|23|14|30|215600|7.36|6.87|7.31|7|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|5|NASDAQ|2020|03|20|14|30|267000|7.79|6.78|6.89|7.41|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|6|NASDAQ|2020|03|19|14|30|194600|7.74|6.5|7.44|6.55|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|7|NASDAQ|2020|03|18|14|30|362800|7.27|6.44|6.55|7.18|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|8|NASDAQ|2020|03|17|14|30|281600|7.94|7.49|7.53|7.79|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|9|NASDAQ|2020|03|16|14|30|166500|8.26|7.67|7.72|8.14|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|10|NASDAQ|2020|03|13|14|30|204300|9.09|8.6|9.03|8.72|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|11|NASDAQ|2020|03|12|14|30|241900|8.83|8.23|8.65|8.67|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|12|NASDAQ|2020|03|11|14|30|237300|9.61|9.09|9.2|9.44|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|13|NASDAQ|2020|03|10|14|30|89600|9.78|9.3|9.62|9.67|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|14|NASDAQ|2020|03|09|14|30|313500|9.72|9.08|9.51|9.43|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|15|NASDAQ|2020|03|06|15|30|150500|10.38|9.99|10.26|10.05|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|16|NASDAQ|2020|03|05|15|30|195700|10.55|9.99|10.21|10.3|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|17|NASDAQ|2020|03|04|15|30|160400|10.78|10.31|10.7|10.55|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
ALLT|18|NASDAQ|2020|03|03|15|30|186600|11.04|10.33|10.41|10.9|communicationequipment|3.26|-|-|-|-|-|israel|-|-|425|Feb 04 BMO|technology|78.910004|316.380005
