empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AMWD|0|NASDAQ|2020|03|27|14|30|153500|50.049999|46.400002|46.400002|50.049999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|1|NASDAQ|2020|03|26|14|30|212700|60.549999|52.25|52.75|58.43|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|2|NASDAQ|2020|03|25|14|30|189100|58.240002|48.25|57.349998|50.709999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|3|NASDAQ|2020|03|24|14|30|168100|50.009998|38.709999|49.439999|38.709999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|4|NASDAQ|2020|03|23|14|30|203300|44.200001|35.299999|35.889999|43.41|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|5|NASDAQ|2020|03|20|14|30|188200|50.029999|42.580002|43.02|48.150002|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|6|NASDAQ|2020|03|19|14|30|163800|48.700001|36.860001|47.790001|39.459999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|7|NASDAQ|2020|03|18|14|30|176700|49.279999|37.470001|39.91|48.369999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|8|NASDAQ|2020|03|17|14|30|177400|50.299999|45.169998|50.150002|48.720001|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|9|NASDAQ|2020|03|16|14|30|136600|62.389999|47|47.560001|56.73|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|10|NASDAQ|2020|03|13|14|30|162500|57.900002|50.330002|57.810001|56.43|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|11|NASDAQ|2020|03|12|14|30|194500|64.699997|53.32|53.34|64.699997|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|12|NASDAQ|2020|03|11|14|30|99400|72.589996|69.220001|70.209999|71.389999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|13|NASDAQ|2020|03|10|14|30|211400|80.230003|71.300003|73.989998|80.230003|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|14|NASDAQ|2020|03|09|14|30|114000|80.809998|76.029999|77.029999|79.349998|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|15|NASDAQ|2020|03|06|15|30|104800|85.669998|80.910004|83.870003|84.879997|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|16|NASDAQ|2020|03|05|15|30|145300|91.550003|87.82|88.639999|90.489998|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|17|NASDAQ|2020|03|04|15|30|119200|93.480003|86.800003|93.339996|88.470001|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|18|NASDAQ|2020|03|03|15|30|183800|92.43|86.139999|86.830002|89.370003|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|19|NASDAQ|2020|03|02|15|30|143100|86.839996|83.099998|86.739998|84.709999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|20|NASDAQ|2020|02|28|15|30|179400|84.230003|80.709999|83.769997|81.160004|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|21|NASDAQ|2020|02|27|15|30|148400|91.389999|84.660004|84.889999|91.309998|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|22|NASDAQ|2020|02|26|15|30|189000|99.480003|93.739998|94|98.32|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|23|NASDAQ|2020|02|25|15|30|334300|104.800003|97.559998|98.470001|102.699997|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
AMWD|24|NASDAQ|2020|02|24|15|30|153700|116.800003|104.419998|116.239998|110.959999|homefurnishingsfixtures|0.7|1.1|1.8|9.37|-|9300|usa|0.87|0.87|8.71|Feb 25 BMO|consumergoods|99.599998|785.179993
