empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ANIP|0|NASDAQ|2020|03|27|14|30|93100|41.009998|36.91|37.759998|39.32|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|1|NASDAQ|2020|03|26|14|30|109500|44.549999|39.200001|40.669998|40.5|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|2|NASDAQ|2020|03|25|14|30|116600|44.369999|38.869999|39.93|43.849998|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|3|NASDAQ|2020|03|24|14|30|103800|45.200001|36.599998|43.549999|37.610001|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|4|NASDAQ|2020|03|23|14|30|179200|40.41|34.02|35.060001|37.310001|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|5|NASDAQ|2020|03|20|14|30|178800|44.099998|36.689999|36.950001|42.060001|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|6|NASDAQ|2020|03|19|14|30|126000|42.549999|38|41.98|38.389999|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|7|NASDAQ|2020|03|18|14|30|146000|40.52|35.959999|38.400002|38.18|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|8|NASDAQ|2020|03|17|14|30|155800|40.939999|28.85|40.939999|30.59|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|9|NASDAQ|2020|03|16|14|30|133300|33.240002|28.280001|30.35|32.23|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|10|NASDAQ|2020|03|13|14|30|187700|36.91|32.279999|35.939999|35.259998|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|11|NASDAQ|2020|03|12|14|30|148300|35.830002|32.869999|35.009998|35.73|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|12|NASDAQ|2020|03|11|14|30|90300|39.41|37.200001|38.299999|39.049999|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|13|NASDAQ|2020|03|10|14|30|93400|41.459999|38.16|40.119999|40.950001|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|14|NASDAQ|2020|03|09|14|30|117800|41.84|39.029999|40.169998|40.43|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|15|NASDAQ|2020|03|06|15|30|185700|44.549999|41.560001|42.919998|43.110001|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|16|NASDAQ|2020|03|05|15|30|112700|45.900002|42.549999|43.299999|45.900002|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|17|NASDAQ|2020|03|04|15|30|150100|46.970001|44.27|46.73|45.389999|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
ANIP|18|NASDAQ|2020|03|03|15|30|237700|45.799999|43|44.959999|43.389999|biotechnology|0.1|2.3|3|78.339996|-|338|usa|0.87|0.83|38.02|Feb 27 BMO|healthcare|89.800003|418
