empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
APLT|0|NASDAQ|2020|03|27|14|30|103300|31.5|27.91|30.440001|29.85|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|1|NASDAQ|2020|03|26|14|30|139600|34.82|29|30.43|30.75|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|2|NASDAQ|2020|03|25|14|30|87000|31.945|27.549999|30.02|29.59|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|3|NASDAQ|2020|03|24|14|30|129100|31.92|28.18|29.58|29.610001|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|4|NASDAQ|2020|03|23|14|30|147400|29.559999|24.33|27.99|27.34|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|5|NASDAQ|2020|03|20|14|30|525400|28.27|24.299999|27|24.85|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|6|NASDAQ|2020|03|19|14|30|147000|26.597|20.780001|25.190001|20.780001|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|7|NASDAQ|2020|03|18|14|30|196200|23.23|19.950001|21.280001|21.629999|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|8|NASDAQ|2020|03|17|14|30|266200|23.92|18.459999|23.200001|20.27|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
APLT|9|NASDAQ|2020|03|16|14|30|152300|26.49|18.629999|19.540001|24.73|biotechnology|17.1|3.3|3.3|-|-|11|usa|0|0|-7.7|Mar 18 BMO|healthcare|38.599998|564.969971
