empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ATHX|0|NASDAQ|2020|03|27|14|30|3111100|2.1|1.81|1.96|1.93|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|1|NASDAQ|2020|03|26|14|30|2084600|1.92|1.77|1.92|1.82|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|2|NASDAQ|2020|03|25|14|30|2014400|2|1.72|1.82|1.95|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|3|NASDAQ|2020|03|24|14|30|3931200|2.13|1.71|1.9|2.1|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|4|NASDAQ|2020|03|23|14|30|3305300|1.98|1.75|1.95|1.94|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|5|NASDAQ|2020|03|20|14|30|10000300|2.28|1.57|1.78|2.09|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|6|NASDAQ|2020|03|19|14|30|5932700|1.9|1.43|1.85|1.63|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|7|NASDAQ|2020|03|18|14|30|2099500|1.47|1.31|1.42|1.46|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|8|NASDAQ|2020|03|17|14|30|4762900|1.49|1.21|1.46|1.33|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|9|NASDAQ|2020|03|16|14|30|2359800|1.4|1.16|1.18|1.3|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|10|NASDAQ|2020|03|13|14|30|1862000|1.22|1.13|1.22|1.2|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|11|NASDAQ|2020|03|12|14|30|1793800|1.29|1.17|1.17|1.28|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|12|NASDAQ|2020|03|11|14|30|1590800|1.4|1.27|1.28|1.35|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|13|NASDAQ|2020|03|10|14|30|2209400|1.5|1.28|1.34|1.47|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
ATHX|14|NASDAQ|2020|03|09|14|30|7173500|1.93|1.18|1.41|1.23|biotechnology|2|2.9|2.9|-|-|75|usa|0|0|6.3|Mar 16 AMC|healthcare|21.6|246.960007
