empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BAND|0|NASDAQ|2020|03|27|14|30|273200|70.480003|66.389999|67.449997|69.720001|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|1|NASDAQ|2020|03|26|14|30|630600|74.470001|67.010002|70.839996|67.25|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|2|NASDAQ|2020|03|25|14|30|522100|71.166|63.52|65.550003|68.5|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|3|NASDAQ|2020|03|24|14|30|537000|71.5|63.130001|69.839996|65.010002|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|4|NASDAQ|2020|03|23|14|30|409400|66|60.978001|62.209999|64.779999|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|5|NASDAQ|2020|03|20|14|30|340000|66.949997|62.009998|64.129997|63.75|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|6|NASDAQ|2020|03|19|14|30|267800|67.010002|59.630001|62.98|60.240002|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|7|NASDAQ|2020|03|18|14|30|350200|61.654999|56.950001|60.669998|58|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|8|NASDAQ|2020|03|17|14|30|533100|62.259998|54.860001|60.41|57.169998|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|9|NASDAQ|2020|03|16|14|30|380700|62.389999|53.583|56.369999|54.73|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|10|NASDAQ|2020|03|13|14|30|503700|60.57|54.599998|59.299999|59.34|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|11|NASDAQ|2020|03|12|14|30|657900|58.205002|50.889999|57.09|55.220001|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|12|NASDAQ|2020|03|11|14|30|271200|63|56.93|58.599998|61.650002|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
BAND|13|NASDAQ|2020|03|10|14|30|421000|63.145|60.959999|62.849998|63.049999|businesssoftwareservices|0.9|5|5|636.320007|-|772|usa|0|0|130.399994|Feb 20 AMC|technology|97.599998|1530
