empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BANR|0|NASDAQ|2020|03|27|14|30|207000|34.279999|31.870001|33.209999|32.459999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|1|NASDAQ|2020|03|26|14|30|209800|34.490002|31.23|34.139999|31.43|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|2|NASDAQ|2020|03|25|14|30|339200|32.66|29.809999|31.299999|31.799999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|3|NASDAQ|2020|03|24|14|30|265700|31.549999|28.59|31.389999|29.219999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|4|NASDAQ|2020|03|23|14|30|329900|30.879999|27.120001|27.4|30.280001|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|5|NASDAQ|2020|03|20|14|30|377800|34.650002|30.1|30.25|33.689999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|6|NASDAQ|2020|03|19|14|30|380600|35.650002|30.35|33.91|33.34|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|7|NASDAQ|2020|03|18|14|30|349100|35.709999|32.110001|33.700001|34.68|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|8|NASDAQ|2020|03|17|14|30|484400|37.240002|30.530001|37.049999|31.870001|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|9|NASDAQ|2020|03|16|14|30|399800|33.720001|30.98|31.34|31.5|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|10|NASDAQ|2020|03|13|14|30|338600|36.439999|33.02|35.700001|35.119999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|11|NASDAQ|2020|03|12|14|30|378800|35.34|31.67|32.610001|33.080002|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|12|NASDAQ|2020|03|11|14|30|308800|38.509998|35.150002|35.790001|37.529999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|13|NASDAQ|2020|03|10|14|30|348000|39.830002|36.610001|38.830002|39.040001|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|14|NASDAQ|2020|03|09|14|30|228000|41|37.34|37.580002|40.380001|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|15|NASDAQ|2020|03|06|15|30|211500|44.900002|41.18|43.970001|42.880001|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|16|NASDAQ|2020|03|05|15|30|268300|45.860001|43.939999|44.709999|45.610001|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|17|NASDAQ|2020|03|04|15|30|294000|47.16|45.200001|47.040001|46.830002|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|18|NASDAQ|2020|03|03|15|30|346000|48.25|45.889999|46.310001|47.389999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|19|NASDAQ|2020|03|02|15|30|274100|47.580002|45.369999|47.490002|45.869999|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
BANR|20|NASDAQ|2020|02|28|15|30|334100|47.57|44.98|45.639999|46.900002|regionalmidatlanticbanks|2.2|-|-|7.93|4.94|2198|usa|0.07|0.07|3.91|Apr 23 AMC|financial|84.400002|1180
