empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BFIT|0|NASDAQ|2020|03|27|14|30|1400|15.51|15.505|15.51|15.505|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|1|NASDAQ|2020|03|26|14|30|600|15.97|15.91|15.91|15.92|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|2|NASDAQ|2020|03|25|14|30|8500|15.556|14.93|15.34|14.93|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|3|NASDAQ|2020|03|24|14|30|9100|14.578|13.882|14.455|14.32|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|4|NASDAQ|2020|03|23|14|30|33800|13.71|12.86|13.441|13.63|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|5|NASDAQ|2020|03|20|14|30|2200|14.15|13.87|13.87|14.15|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|6|NASDAQ|2020|03|19|14|30|1600|13.878|13.21|13.802|13.21|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|7|NASDAQ|2020|03|18|14|30|3900|13.61|12.89|12.89|13.61|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|8|NASDAQ|2020|03|17|14|30|5300|14.25|13.74|14.157|13.74|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|9|NASDAQ|2020|03|16|14|30|18300|14.555|13.02|13.73|13.02|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|10|NASDAQ|2020|03|13|14|30|2600|15.584|15.2|15.584|15.355|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|11|NASDAQ|2020|03|12|14|30|3100|15.82|14.69|15.23|15.82|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|12|NASDAQ|2020|03|11|14|30|1900|17.028999|16.719999|16.809999|17.028|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|13|NASDAQ|2020|03|10|14|30|4400|17.827999|17.42|17.827999|17.712999|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|14|NASDAQ|2020|03|09|14|30|4800|17.76|17.226999|17.450001|17.226999|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|15|NASDAQ|2020|03|06|15|30|2200|18.43|18.16|18.35|18.16|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|16|NASDAQ|2020|03|05|15|30|700|18.84|18.59|18.59|18.84|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|17|NASDAQ|2020|03|04|15|30|1100|19.004999|18.780001|19.004999|18.780001|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|18|NASDAQ|2020|03|03|15|30|1500|18.82|18.440001|18.620001|18.813|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|19|NASDAQ|2020|03|02|15|30|162400|19.02|18.5|19.01|18.58|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|20|NASDAQ|2020|02|28|15|30|1100|18.544001|18.34|18.544001|18.34|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|21|NASDAQ|2020|02|27|15|30|2100|19.219999|18.73|18.74|18.92|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|22|NASDAQ|2020|02|26|15|30|2000|19.75|19.26|19.264999|19.610001|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
BFIT|23|NASDAQ|2020|02|25|15|30|600|20.07|19.500999|19.500999|20.07|exchangetradedfund|-|-|-|-|0.58|-|usa|-|-|-|-|financial|-|-
