empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BKEPP|0|NASDAQ|2020|01|31|15|30|40400|5.45|5.38|5.4|5.45|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|1|NASDAQ|2020|01|30|15|30|38400|5.4|5.33|5.36|5.4|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|2|NASDAQ|2020|01|29|15|30|15100|5.41|5.39|5.4|5.4|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|3|NASDAQ|2020|01|28|15|30|5300|5.42|5.38|5.39|5.38|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|4|NASDAQ|2020|01|27|15|30|32700|5.43|5.33|5.35|5.38|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|5|NASDAQ|2020|01|24|15|30|1800|5.44|5.36|5.37|5.36|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|6|NASDAQ|2020|01|23|15|30|29400|5.4|5.34|5.37|5.37|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|7|NASDAQ|2020|01|22|15|30|8200|5.4|5.32|5.38|5.35|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|8|NASDAQ|2020|01|21|15|30|5700|5.37|5.32|5.35|5.36|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|9|NASDAQ|2020|01|17|15|30|81500|5.49|5.3|5.31|5.46|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|10|NASDAQ|2020|01|16|15|30|9500|5.45|5.42|5.45|5.42|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|11|NASDAQ|2020|01|15|15|30|17200|5.45|5.36|5.44|5.42|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|12|NASDAQ|2020|01|14|15|30|5300|5.42|5.38|5.38|5.4|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|13|NASDAQ|2020|01|13|15|30|19000|5.44|5.33|5.39|5.37|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|14|NASDAQ|2020|01|10|15|30|33400|5.37|5.3|5.3|5.33|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|15|NASDAQ|2020|01|09|15|30|6000|5.41|5.32|5.32|5.32|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|16|NASDAQ|2020|01|08|15|30|67000|5.55|5.25|5.33|5.49|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|17|NASDAQ|2020|01|07|15|30|5500|5.54|5.48|5.5|5.48|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|18|NASDAQ|2020|01|06|15|30|18000|5.53|5.42|5.53|5.5|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|19|NASDAQ|2020|01|03|15|30|5000|5.5|5.4|5.46|5.4|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|20|NASDAQ|2020|01|02|15|30|87300|5.45|5.17|5.44|5.45|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|21|NASDAQ|2019|12|31|15|30|24500|5.45|5.39|5.39|5.39|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|22|NASDAQ|2019|12|30|15|30|31800|5.41|5.36|5.39|5.36|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|23|NASDAQ|2019|12|27|15|30|2600|5.43|5.39|5.41|5.41|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|24|NASDAQ|2019|12|26|15|30|24900|5.45|5.36|5.43|5.38|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|25|NASDAQ|2019|12|24|15|30|22200|5.39|5.28|5.38|5.34|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
BKEPP|26|NASDAQ|2019|12|23|15|30|38800|5.34|5.25|5.34|5.26|independentoilgas|-|-|-|-|13.15|285|usa|-|-|-|-|basicmaterials|11.48|-
