empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CARA|0|NASDAQ|2020|03|27|14|30|424900|13.4|12.53|12.6|13.3|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|1|NASDAQ|2020|03|26|14|30|491600|13.95|12.68|13.34|12.78|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|2|NASDAQ|2020|03|25|14|30|435900|12.88|11.922|12.55|12.42|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|3|NASDAQ|2020|03|24|14|30|533200|12.48|11.375|12.21|11.72|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|4|NASDAQ|2020|03|23|14|30|643900|11.61|10.54|11.06|10.68|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|5|NASDAQ|2020|03|20|14|30|562500|11.09|10.27|10.52|10.59|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|6|NASDAQ|2020|03|19|14|30|717400|10.86|8.92|10.48|9.25|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|7|NASDAQ|2020|03|18|14|30|726500|10.92|8.88|9.12|10.6|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|8|NASDAQ|2020|03|17|14|30|691700|11.4|9.91|11.23|10.03|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|9|NASDAQ|2020|03|16|14|30|629500|11.125|9.85|9.89|10|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|10|NASDAQ|2020|03|13|14|30|708900|12|10.39|11.53|11.5|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|11|NASDAQ|2020|03|12|14|30|858700|12.25|11.01|11.04|12.1|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|12|NASDAQ|2020|03|11|14|30|679700|13.895|13|13.43|13.6|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|13|NASDAQ|2020|03|10|14|30|569300|14.427|13.13|13.98|14.1|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|14|NASDAQ|2020|03|09|14|30|560900|14.378|13.14|13.81|14.05|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|15|NASDAQ|2020|03|06|15|30|566700|15.97|15|15.28|15.77|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|16|NASDAQ|2020|03|05|15|30|439000|16.41|15.521|16|15.61|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|17|NASDAQ|2020|03|04|15|30|448300|16.1|14.95|15.94|14.95|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|18|NASDAQ|2020|03|03|15|30|373700|16|14.73|14.84|15.62|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|19|NASDAQ|2020|03|02|15|30|711500|15.6|14.93|15.56|15.3|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|20|NASDAQ|2020|02|28|15|30|885300|15.39|12.63|15.03|13.75|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|21|NASDAQ|2020|02|27|15|30|1003100|15.84|14.6|15.35|15.5|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|22|NASDAQ|2020|02|26|15|30|440400|16.23|15.75|15.86|15.81|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|23|NASDAQ|2020|02|25|15|30|502400|16.665001|15.81|15.99|16.549999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|24|NASDAQ|2020|02|24|15|30|513700|16.709|16.26|16.360001|16.57|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|25|NASDAQ|2020|02|21|15|30|320900|17.34|17.02|17.23|17.200001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|26|NASDAQ|2020|02|20|15|30|284600|17.280001|16.9|17.200001|17.09|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|27|NASDAQ|2020|02|19|15|30|305600|17.290001|16.860001|17.18|17.219999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|28|NASDAQ|2020|02|18|15|30|326400|17.85|17|17.184999|17.790001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|29|NASDAQ|2020|02|14|15|30|485200|17.809999|17.15|17.780001|17.200001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|30|NASDAQ|2020|02|13|15|30|205000|17.49|17.18|17.25|17.469999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|31|NASDAQ|2020|02|12|15|30|358500|17.5|17.16|17.49|17.34|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|32|NASDAQ|2020|02|11|15|30|302300|17.51|17.187|17.280001|17.48|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|33|NASDAQ|2020|02|10|15|30|403400|17.5|16.92|17.434999|17.190001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|34|NASDAQ|2020|02|07|15|30|369800|17.25|16.950001|17.15|17.07|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|35|NASDAQ|2020|02|06|15|30|554500|17.32|16.834999|17.290001|17.049999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|36|NASDAQ|2020|02|05|15|30|468200|17.049999|16.58|16.969999|16.700001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|37|NASDAQ|2020|02|04|15|30|487000|17.01|16.42|16.68|16.469999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|38|NASDAQ|2020|02|03|15|30|492300|16.32|15.72|16.309999|16.23|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|39|NASDAQ|2020|01|31|15|30|508300|16.129999|15.52|16.1|16.01|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|40|NASDAQ|2020|01|30|15|30|559300|16.215|15.78|16|15.85|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|41|NASDAQ|2020|01|29|15|30|279300|16.34|15.98|16.17|16.290001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|42|NASDAQ|2020|01|28|15|30|307800|16.360001|15.99|16.209999|16.25|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|43|NASDAQ|2020|01|27|15|30|439700|16.309999|15.49|16.110001|15.6|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|44|NASDAQ|2020|01|24|15|30|506900|16.441999|15.93|16.049999|16.35|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|45|NASDAQ|2020|01|23|15|30|990700|16.52|15.73|16.34|16.290001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|46|NASDAQ|2020|01|22|15|30|672100|16.950001|16.200001|16.290001|16.879999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|47|NASDAQ|2020|01|21|15|30|1092400|18.32|16.809999|16.870001|17.450001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|48|NASDAQ|2020|01|17|15|30|685000|17.360001|16.93|17.305|17.049999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|49|NASDAQ|2020|01|16|15|30|911300|17.25|16.809999|16.889999|16.85|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|50|NASDAQ|2020|01|15|15|30|647200|17|16.110001|16.799999|16.23|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|51|NASDAQ|2020|01|14|15|30|713600|16.32|15.7|16.18|15.95|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|52|NASDAQ|2020|01|13|15|30|486400|15.895|15.23|15.86|15.7|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|53|NASDAQ|2020|01|10|15|30|803600|15.95|15.48|15.71|15.48|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|54|NASDAQ|2020|01|09|15|30|635900|15.75|15.05|15.37|15.2|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|55|NASDAQ|2020|01|08|15|30|486100|15.09|14.79|15.01|14.95|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|56|NASDAQ|2020|01|07|15|30|326500|15.4|14.84|15.02|15.24|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|57|NASDAQ|2020|01|06|15|30|486100|15.36|14.775|15.19|15|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|58|NASDAQ|2020|01|03|15|30|1148500|15.576|14.78|15.06|15.35|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|59|NASDAQ|2020|01|02|15|30|933100|16.17|15.15|15.44|16.129999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|60|NASDAQ|2019|12|31|15|30|703600|16.49|15.9|16.110001|16.35|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|61|NASDAQ|2019|12|30|15|30|985100|16.77|16.27|16.41|16.610001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|62|NASDAQ|2019|12|27|15|30|582900|16.76|16.139999|16.610001|16.58|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|63|NASDAQ|2019|12|26|15|30|489200|17.1|16.469999|16.51|17|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|64|NASDAQ|2019|12|24|15|30|542500|17.190001|16.809999|16.98|17.02|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|65|NASDAQ|2019|12|23|15|30|1165900|17.280001|16.719999|16.99|16.75|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|66|NASDAQ|2019|12|20|15|30|762500|16.93|16.379999|16.74|16.51|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|67|NASDAQ|2019|12|19|15|30|462000|16.629999|16.299999|16.459999|16.57|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|68|NASDAQ|2019|12|18|15|30|868000|17.190001|16.23|16.370001|16.99|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|69|NASDAQ|2019|12|17|15|30|721400|17.1|16.6|17|17.040001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|70|NASDAQ|2019|12|16|15|30|777500|17.190001|16.57|17.02|16.700001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|71|NASDAQ|2019|12|13|15|30|1033200|17.610001|16.49|16.57|16.49|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|72|NASDAQ|2019|12|12|15|30|611500|16.716|16.200001|16.4|16.459999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|73|NASDAQ|2019|12|11|15|30|609400|16.9|16.27|16.35|16.9|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|74|NASDAQ|2019|12|10|15|30|695600|16.93|16.16|16.870001|16.34|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|75|NASDAQ|2019|12|09|15|30|770900|16.879999|16.1|16.26|16.719999|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|76|NASDAQ|2019|12|06|15|30|1208200|16.870001|15.86|16.754999|16.200001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|77|NASDAQ|2019|12|05|15|30|1749600|17.049999|16.059999|16.129999|16.82|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|78|NASDAQ|2019|12|04|15|30|2483300|17.450001|16.41|17.030001|17.450001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|79|NASDAQ|2019|12|03|15|30|5643100|20.700001|16.82|16.934999|20.690001|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
CARA|80|NASDAQ|2019|12|02|15|30|625500|25.969999|25.01|25.879999|25.83|biotechnology|2.4|3.9|3.9|-|-|67|usa|0|0|14|Feb 27 AMC|healthcare|68|588.859985
