empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CENTA|0|NASDAQ|2020|01|31|15|30|255000|31|29.9|29.959999|30.549999|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|1|NASDAQ|2020|01|30|15|30|138800|30.68|30|30.6|30.059999|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|2|NASDAQ|2020|01|29|15|30|191700|30.790001|30.02|30.040001|30.57|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|3|NASDAQ|2020|01|28|15|30|193900|30.91|30.459999|30.549999|30.639999|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|4|NASDAQ|2020|01|27|15|30|149400|30.6|29.98|30.370001|29.98|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|5|NASDAQ|2020|01|24|15|30|151400|30.889999|29.99|30.27|30.799999|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|6|NASDAQ|2020|01|23|15|30|323500|30.73|30.129999|30.66|30.48|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|7|NASDAQ|2020|01|22|15|30|270400|31.07|30.41|30.52|30.74|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|8|NASDAQ|2020|01|21|15|30|181200|30.860001|30.4|30.68|30.860001|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|9|NASDAQ|2020|01|17|15|30|157400|31.09|30.610001|30.879999|30.809999|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|10|NASDAQ|2020|01|16|15|30|120700|30.620001|30.219999|30.57|30.280001|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
CENTA|11|NASDAQ|2020|01|15|15|30|178900|30.27|29.799999|30.07|29.799999|agriculturalchemicals|5.9|-|-|18.610001|-|5300|usa|-|-|10.6|Feb 25 AMC|basicmaterials|86.870003|1270
