empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CHEF|0|NASDAQ|2020|01|31|15|30|120500|36.970001|36.110001|36.400002|36.720001|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|1|NASDAQ|2020|01|30|15|30|165300|36.93|36.110001|36.869999|36.400002|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|2|NASDAQ|2020|01|29|15|30|94200|37.459999|36.560001|36.560001|37.41|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|3|NASDAQ|2020|01|28|15|30|220000|37.689999|37.060001|37.470001|37.290001|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|4|NASDAQ|2020|01|27|15|30|314200|37.709999|36.040001|37.23|36.279999|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|5|NASDAQ|2020|01|24|15|30|291100|36.869999|36.209999|36.610001|36.869999|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|6|NASDAQ|2020|01|23|15|30|394600|37.380001|36.77|36.869999|37.380001|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|7|NASDAQ|2020|01|22|15|30|438200|38.23|37.32|37.450001|38.23|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|8|NASDAQ|2020|01|21|15|30|155700|38.650002|38.139999|38.240002|38.459999|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
CHEF|9|NASDAQ|2020|01|17|15|30|219800|39.119999|38.169998|38.68|38.779999|foodwholesale|13.6|1.5|2.4|48.990002|-|2316|usa|0.87|0.87|6.75|Feb 12 AMC|services|89.800003|1120
