empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CHSCN|0|NASDAQ|2020|03|27|14|30|33500|24.5|23.5|23.82|24.5|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|1|NASDAQ|2020|03|26|14|30|25200|25.01|24.25|24.799999|24.76|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|2|NASDAQ|2020|03|25|14|30|28400|25.01|22.27|24.299999|22.27|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|3|NASDAQ|2020|03|24|14|30|47500|22.639999|19.780001|21.76|19.780001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|4|NASDAQ|2020|03|23|14|30|55200|21.16|17.200001|18.540001|20.969999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|5|NASDAQ|2020|03|20|14|30|48300|23.190001|19.4|21.74|19.4|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|6|NASDAQ|2020|03|19|14|30|63800|21.75|15.03|19.09|15.19|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|7|NASDAQ|2020|03|18|14|30|97000|22.787001|16.02|16.23|22.440001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|8|NASDAQ|2020|03|17|14|30|52800|24.35|22.847|23.25|23.82|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|9|NASDAQ|2020|03|16|14|30|52900|24.922001|23.860001|23.860001|24.6|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|10|NASDAQ|2020|03|13|14|30|41600|25.6|24.610001|25.26|25.25|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|11|NASDAQ|2020|03|12|14|30|47200|26.07|24.5|25|25.360001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|12|NASDAQ|2020|03|11|14|30|33200|26.379999|25.280001|26.129999|26.379999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|13|NASDAQ|2020|03|10|14|30|51000|27.247999|25.65|26.25|26.68|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|14|NASDAQ|2020|03|09|14|30|67200|26.65|25.76|26.014999|26.4|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|15|NASDAQ|2020|03|06|15|30|63300|26.959999|26.48|26.700001|26.65|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|16|NASDAQ|2020|03|05|15|30|28000|26.811001|26.610001|26.74|26.610001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|17|NASDAQ|2020|03|04|15|30|17900|26.9|26.58|26.77|26.870001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|18|NASDAQ|2020|03|03|15|30|62300|27.299|26.219999|26.35|26.719999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|19|NASDAQ|2020|03|02|15|30|26400|27.15|26.450001|26.450001|26.469999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|20|NASDAQ|2020|02|28|15|30|50800|27.158001|26.15|26.15|27.040001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|21|NASDAQ|2020|02|27|15|30|17200|27.52|27.129999|27.129999|27.24|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|22|NASDAQ|2020|02|26|15|30|39200|28.08|27.065001|27.370001|27.559999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|23|NASDAQ|2020|02|25|15|30|30900|27.91|27.25|27.25|27.799999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|24|NASDAQ|2020|02|24|15|30|8100|28.25|27.67|27.67|28.25|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|25|NASDAQ|2020|02|21|15|30|19900|28.59|28.110001|28.139999|28.58|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|26|NASDAQ|2020|02|20|15|30|10400|28.59|28.004|28.59|28.49|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|27|NASDAQ|2020|02|19|15|30|13100|28.59|28.27|28.41|28.59|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|28|NASDAQ|2020|02|18|15|30|11500|28.540001|28.379999|28.52|28.469999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|29|NASDAQ|2020|02|14|15|30|4700|28.469999|28.18|28.360001|28.469999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|30|NASDAQ|2020|02|13|15|30|22200|28.469999|27.98|28.469999|27.98|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|31|NASDAQ|2020|02|12|15|30|16700|28.209999|27.85|27.907|28.209999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|32|NASDAQ|2020|02|11|15|30|26200|28.464001|28.07|28.215|28.43|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|33|NASDAQ|2020|02|10|15|30|7400|28.35|28|28.33|28.26|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|34|NASDAQ|2020|02|07|15|30|27500|28.27|27.99|28.18|28.040001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|35|NASDAQ|2020|02|06|15|30|22400|28.17|27.82|27.92|28.17|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|36|NASDAQ|2020|02|05|15|30|16600|28.17|27.809999|28.049999|28.17|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|37|NASDAQ|2020|02|04|15|30|17800|28.139999|27.951|27.951|28.139999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|38|NASDAQ|2020|02|03|15|30|26300|28.280001|27.962999|28.059999|28.280001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|39|NASDAQ|2020|01|31|15|30|20400|28.488001|28.01|28.1|28.34|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|40|NASDAQ|2020|01|30|15|30|23400|28.299999|28.049999|28.07|28.26|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|41|NASDAQ|2020|01|29|15|30|9900|28.4|28.1|28.290001|28.190001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|42|NASDAQ|2020|01|28|15|30|7900|28.1|27.775999|27.992001|27.99|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|43|NASDAQ|2020|01|27|15|30|9400|28.110001|27.832001|27.98|28.110001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|44|NASDAQ|2020|01|24|15|30|12100|28.23|27.9|28|27.99|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|45|NASDAQ|2020|01|23|15|30|12700|28.205999|27.790001|27.790001|28.07|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|46|NASDAQ|2020|01|22|15|30|65700|28.370001|27.9|27.950001|28|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|47|NASDAQ|2020|01|21|15|30|18200|28.423|27.732|28.1|27.99|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|48|NASDAQ|2020|01|17|15|30|13500|28.25|27.76|27.76|28.25|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|49|NASDAQ|2020|01|16|15|30|17500|28.672001|27.6|28.299999|28.639999|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|50|NASDAQ|2020|01|15|15|30|14200|28.700001|28.51|28.67|28.610001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
CHSCN|51|NASDAQ|2020|01|14|15|30|18500|28.740999|28.572001|28.67|28.690001|farmproducts|-|-|-|-|7.43|10703|usa|-|-|-|-|consumergoods|49.970001|-
