empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CSII|0|NASDAQ|2020|03|27|14|30|259600|34.84|32.169998|33.959999|33.57|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|1|NASDAQ|2020|03|26|14|30|316300|34.919998|31.860001|34.59|32.990002|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|2|NASDAQ|2020|03|25|14|30|424400|34.040001|32.119999|32.93|32.970001|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|3|NASDAQ|2020|03|24|14|30|355700|33.419998|30|33.130001|31.530001|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|4|NASDAQ|2020|03|23|14|30|411400|31.450001|29.32|30.190001|30.6|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|5|NASDAQ|2020|03|20|14|30|426800|34.52|29.610001|30|34.310001|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|6|NASDAQ|2020|03|19|14|30|513600|38.18|33.509998|34.009998|34.459999|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|7|NASDAQ|2020|03|18|14|30|446100|35.310001|31.6|35.009998|33.349998|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|8|NASDAQ|2020|03|17|14|30|543200|35.740002|29.040001|35.139999|30.73|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|9|NASDAQ|2020|03|16|14|30|403700|32.279999|26|30.02|26|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
CSII|10|NASDAQ|2020|03|13|14|30|515900|34.59|29.950001|31.49|32.66|medicalappliancesequipment|1.1|2.8|3.2|-|-|731|usa|0.15|0.15|161.100006|Feb 05 AMC|healthcare|96.099998|1230
