empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CSX|0|NASDAQ|2020|03|27|14|30|5588500|57.82|55.029999|56.290001|56.27|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|1|NASDAQ|2020|03|26|14|30|6366200|59.130001|55.830002|58.57|57.119999|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|2|NASDAQ|2020|03|25|14|30|7658200|60.57|55.009998|56.529999|55.110001|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|3|NASDAQ|2020|03|24|14|30|7612000|55.689999|49.509998|55.5|50.98|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|4|NASDAQ|2020|03|23|14|30|7631200|50.790001|46.810001|47.66|49.43|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|5|NASDAQ|2020|03|20|14|30|9861800|55.18|49.599998|49.869999|54.509998|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|6|NASDAQ|2020|03|19|14|30|6092500|56.200001|48.790001|55.009998|50.529999|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|7|NASDAQ|2020|03|18|14|30|7879000|52.48|48.060001|50.970001|50.669998|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|8|NASDAQ|2020|03|17|14|30|8822100|54.93|48.169998|54.259998|49.509998|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|9|NASDAQ|2020|03|16|14|30|11278600|53.360001|47.560001|48.93|49.02|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|10|NASDAQ|2020|03|13|14|30|12272900|58.790001|54.009998|57.939999|56.5|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|11|NASDAQ|2020|03|12|14|30|12256700|56.400002|51.880001|53.41|53.549999|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|12|NASDAQ|2020|03|11|14|30|10872500|61.830002|58.060001|58.310001|60.889999|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|13|NASDAQ|2020|03|10|14|30|8232800|63.16|59.349998|62.880001|62.32|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|14|NASDAQ|2020|03|09|14|30|8465700|63.73|59.59|60.389999|62.950001|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|15|NASDAQ|2020|03|06|15|30|5189500|68.830002|65.720001|68.25|65.940002|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|16|NASDAQ|2020|03|05|15|30|4894700|70.580002|68.629997|68.959999|69.93|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
CSX|17|NASDAQ|2020|03|04|15|30|5576300|72.239998|69.379997|72|69.870003|railroads|0.1|1.4|1.5|13.49|1.85|21000|usa|1.37|1.35|10.76|Apr 16 AMC|services|75.900002|43620
